Number of Variables;6;
Variables:;
0;;this;
1;;this._currToken;
2;;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
3;;this._parsingContext;
4;;this._tokenIncomplete;
5;;this._textBuffer;

Number of Block duas;27;
Line Duas for method; getTextLength;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;304;304;305;0;this;
2;304;304;323;0;this;
3;304;305;320;0;this;
4;304;305;308;0;this;
5;304;305;310;0;this;
6;304;305;317;0;this;
7;304;;317;0;this;
8;304;310;311;0;this;
9;304;310;317;0;this;
10;304;;311;0;this;
11;304;;312;0;this;
12;304;;308;0;this;
13;304;;320;0;this;
14;304;304;305;1;this._currToken;
15;304;304;323;1;this._currToken;
16;304;305;320;1;this._currToken;
17;304;305;308;1;this._currToken;
18;304;305;310;1;this._currToken;
19;304;305;317;1;this._currToken;
20;304;;320;1;this._currToken;
21;304;305;320;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
22;304;305;308;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
23;304;305;310;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
24;304;305;317;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
25;304;;308;3;this._parsingContext;
26;304;310;311;4;this._tokenIncomplete;
27;304;310;317;4;this._tokenIncomplete;
28;304;;317;5;this._textBuffer;

Block Duas for method; getTextLength;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;304;304;305;0;this;
2;0;0;1;0;this;
;304;304;323;0;this;
3;0;2;7;0;this;
;304;305;320;0;this;
4;0;2;6;0;this;
;304;305;308;0;this;
5;0;2;4;0;this;
;304;305;310;0;this;
6;0;2;3;0;this;
;304;305;317;0;this;
7;0;;3;0;this;
;304;;317;0;this;
8;0;4;5;0;this;
;304;310;311;0;this;
9;0;4;3;0;this;
;304;310;317;0;this;
10;0;;5;0;this;
;304;;311;0;this;
;304;;312;0;this;
11;0;;6;0;this;
;304;;308;0;this;
12;0;;7;0;this;
;304;;320;0;this;
13;0;0;2;1;this._currToken;
;304;304;305;1;this._currToken;
14;0;0;1;1;this._currToken;
;304;304;323;1;this._currToken;
15;0;2;7;1;this._currToken;
;304;305;320;1;this._currToken;
16;0;2;6;1;this._currToken;
;304;305;308;1;this._currToken;
17;0;2;4;1;this._currToken;
;304;305;310;1;this._currToken;
18;0;2;3;1;this._currToken;
;304;305;317;1;this._currToken;
19;0;;7;1;this._currToken;
;304;;320;1;this._currToken;
20;0;2;7;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;304;305;320;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
21;0;2;6;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;304;305;308;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
22;0;2;4;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;304;305;310;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
23;0;2;3;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;304;305;317;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
24;0;;6;3;this._parsingContext;
;304;;308;3;this._parsingContext;
25;0;4;5;4;this._tokenIncomplete;
;304;310;311;4;this._tokenIncomplete;
26;0;4;3;4;this._tokenIncomplete;
;304;310;317;4;this._tokenIncomplete;
27;0;;3;5;this._textBuffer;
;304;;317;5;this._textBuffer;
