Number of Variables;12;
Variables:;
0;;this;
1;;defaultValue;
2;;FIELD_NAME;
3;;this._currToken;
4;;this._nextToken;
5;;VALUE_NUMBER_INT;
6;;START_ARRAY;
7;;this._parsingContext;
8;;this._tokenInputRow;
9;;this._tokenInputCol;
10;;START_OBJECT;
11;;t;

Number of Block duas;36;
Line Duas for method; nextIntValue;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;735;735;736;0;this;
2;735;735;751;0;this;
3;735;751;751;0;this;
4;735;751;751;0;this;
5;735;;751;0;this;
6;735;;736;0;this;
7;735;;737;0;this;
8;735;;738;0;this;
9;735;;739;0;this;
10;735;;746;0;this;
11;735;;744;0;this;
12;735;;741;0;this;
13;735;;751;1;defaultValue;
14;735;;748;1;defaultValue;
15;735;735;736;2;FIELD_NAME;
16;735;735;751;2;FIELD_NAME;
17;735;735;736;3;this._currToken;
18;735;735;751;3;this._currToken;
19;735;;737;6;this._nextToken;
20;735;751;751;7;VALUE_NUMBER_INT;
21;735;751;751;7;VALUE_NUMBER_INT;
22;735;740;741;7;VALUE_NUMBER_INT;
23;735;740;743;7;VALUE_NUMBER_INT;
24;735;743;744;8;START_ARRAY;
25;735;743;745;8;START_ARRAY;
26;735;;746;9;this._parsingContext;
27;735;;744;9;this._parsingContext;
28;735;;746;10;this._tokenInputRow;
29;735;;744;10;this._tokenInputRow;
30;735;;746;11;this._tokenInputCol;
31;735;;744;11;this._tokenInputCol;
32;735;745;746;12;START_OBJECT;
33;735;745;748;12;START_OBJECT;
34;737;740;741;5;t;
35;737;740;743;5;t;
36;737;743;744;5;t;
37;737;743;745;5;t;
38;737;745;746;5;t;
39;737;745;748;5;t;

Block Duas for method; nextIntValue;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;5;0;this;
;735;735;736;0;this;
2;0;0;1;0;this;
;735;735;751;0;this;
3;0;1;4;0;this;
;735;751;751;0;this;
4;0;1;2;0;this;
;735;751;751;0;this;
5;0;;3;0;this;
;735;;751;0;this;
6;0;;5;0;this;
;735;;736;0;this;
;735;;737;0;this;
;735;;738;0;this;
;735;;739;0;this;
7;0;;9;0;this;
;735;;746;0;this;
8;0;;10;0;this;
;735;;744;0;this;
9;0;;11;0;this;
;735;;741;0;this;
10;0;;3;1;defaultValue;
;735;;751;1;defaultValue;
11;0;;8;1;defaultValue;
;735;;748;1;defaultValue;
12;0;0;5;2;FIELD_NAME;
;735;735;736;2;FIELD_NAME;
13;0;0;1;2;FIELD_NAME;
;735;735;751;2;FIELD_NAME;
14;0;0;5;3;this._currToken;
;735;735;736;3;this._currToken;
15;0;0;1;3;this._currToken;
;735;735;751;3;this._currToken;
16;0;;5;4;this._nextToken;
;735;;737;6;this._nextToken;
17;0;1;4;5;VALUE_NUMBER_INT;
;735;751;751;7;VALUE_NUMBER_INT;
18;0;1;2;5;VALUE_NUMBER_INT;
;735;751;751;7;VALUE_NUMBER_INT;
19;0;5;11;5;VALUE_NUMBER_INT;
;735;740;741;7;VALUE_NUMBER_INT;
20;0;5;6;5;VALUE_NUMBER_INT;
;735;740;743;7;VALUE_NUMBER_INT;
21;0;6;10;6;START_ARRAY;
;735;743;744;8;START_ARRAY;
22;0;6;7;6;START_ARRAY;
;735;743;745;8;START_ARRAY;
23;0;;9;7;this._parsingContext;
;735;;746;9;this._parsingContext;
24;0;;10;7;this._parsingContext;
;735;;744;9;this._parsingContext;
25;0;;9;8;this._tokenInputRow;
;735;;746;10;this._tokenInputRow;
26;0;;10;8;this._tokenInputRow;
;735;;744;10;this._tokenInputRow;
27;0;;9;9;this._tokenInputCol;
;735;;746;11;this._tokenInputCol;
28;0;;10;9;this._tokenInputCol;
;735;;744;11;this._tokenInputCol;
29;0;7;9;10;START_OBJECT;
;735;745;746;12;START_OBJECT;
30;0;7;8;10;START_OBJECT;
;735;745;748;12;START_OBJECT;
31;5;5;11;11;t;
;737;740;741;5;t;
32;5;5;6;11;t;
;737;740;743;5;t;
33;5;6;10;11;t;
;737;743;744;5;t;
34;5;6;7;11;t;
;737;743;745;5;t;
35;5;7;9;11;t;
;737;745;746;5;t;
36;5;7;8;11;t;
;737;745;748;5;t;
