Number of Variables;12;
Variables:;
0;;this;
1;;defaultValue;
2;;FIELD_NAME;
3;;this._currToken;
4;;this._nextToken;
5;;VALUE_NUMBER_INT;
6;;START_ARRAY;
7;;this._parsingContext;
8;;this._tokenInputRow;
9;;this._tokenInputCol;
10;;START_OBJECT;
11;;t;

Number of Block duas;36;
Line Duas for method; nextLongValue;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;759;759;760;0;this;
2;759;759;775;0;this;
3;759;775;775;0;this;
4;759;775;775;0;this;
5;759;;775;0;this;
6;759;;760;0;this;
7;759;;761;0;this;
8;759;;762;0;this;
9;759;;763;0;this;
10;759;;770;0;this;
11;759;;768;0;this;
12;759;;765;0;this;
13;759;;775;1;defaultValue;
14;759;;772;1;defaultValue;
15;759;759;760;2;FIELD_NAME;
16;759;759;775;2;FIELD_NAME;
17;759;759;760;3;this._currToken;
18;759;759;775;3;this._currToken;
19;759;;761;6;this._nextToken;
20;759;775;775;7;VALUE_NUMBER_INT;
21;759;775;775;7;VALUE_NUMBER_INT;
22;759;764;765;7;VALUE_NUMBER_INT;
23;759;764;767;7;VALUE_NUMBER_INT;
24;759;767;768;8;START_ARRAY;
25;759;767;769;8;START_ARRAY;
26;759;;770;9;this._parsingContext;
27;759;;768;9;this._parsingContext;
28;759;;770;10;this._tokenInputRow;
29;759;;768;10;this._tokenInputRow;
30;759;;770;11;this._tokenInputCol;
31;759;;768;11;this._tokenInputCol;
32;759;769;770;12;START_OBJECT;
33;759;769;772;12;START_OBJECT;
34;761;764;765;5;t;
35;761;764;767;5;t;
36;761;767;768;5;t;
37;761;767;769;5;t;
38;761;769;770;5;t;
39;761;769;772;5;t;

Block Duas for method; nextLongValue;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;5;0;this;
;759;759;760;0;this;
2;0;0;1;0;this;
;759;759;775;0;this;
3;0;1;4;0;this;
;759;775;775;0;this;
4;0;1;2;0;this;
;759;775;775;0;this;
5;0;;3;0;this;
;759;;775;0;this;
6;0;;5;0;this;
;759;;760;0;this;
;759;;761;0;this;
;759;;762;0;this;
;759;;763;0;this;
7;0;;9;0;this;
;759;;770;0;this;
8;0;;10;0;this;
;759;;768;0;this;
9;0;;11;0;this;
;759;;765;0;this;
10;0;;3;1;defaultValue;
;759;;775;1;defaultValue;
11;0;;8;1;defaultValue;
;759;;772;1;defaultValue;
12;0;0;5;2;FIELD_NAME;
;759;759;760;2;FIELD_NAME;
13;0;0;1;2;FIELD_NAME;
;759;759;775;2;FIELD_NAME;
14;0;0;5;3;this._currToken;
;759;759;760;3;this._currToken;
15;0;0;1;3;this._currToken;
;759;759;775;3;this._currToken;
16;0;;5;4;this._nextToken;
;759;;761;6;this._nextToken;
17;0;1;4;5;VALUE_NUMBER_INT;
;759;775;775;7;VALUE_NUMBER_INT;
18;0;1;2;5;VALUE_NUMBER_INT;
;759;775;775;7;VALUE_NUMBER_INT;
19;0;5;11;5;VALUE_NUMBER_INT;
;759;764;765;7;VALUE_NUMBER_INT;
20;0;5;6;5;VALUE_NUMBER_INT;
;759;764;767;7;VALUE_NUMBER_INT;
21;0;6;10;6;START_ARRAY;
;759;767;768;8;START_ARRAY;
22;0;6;7;6;START_ARRAY;
;759;767;769;8;START_ARRAY;
23;0;;9;7;this._parsingContext;
;759;;770;9;this._parsingContext;
24;0;;10;7;this._parsingContext;
;759;;768;9;this._parsingContext;
25;0;;9;8;this._tokenInputRow;
;759;;770;10;this._tokenInputRow;
26;0;;10;8;this._tokenInputRow;
;759;;768;10;this._tokenInputRow;
27;0;;9;9;this._tokenInputCol;
;759;;770;11;this._tokenInputCol;
28;0;;10;9;this._tokenInputCol;
;759;;768;11;this._tokenInputCol;
29;0;7;9;10;START_OBJECT;
;759;769;770;12;START_OBJECT;
30;0;7;8;10;START_OBJECT;
;759;769;772;12;START_OBJECT;
31;5;5;11;11;t;
;761;764;765;5;t;
32;5;5;6;11;t;
;761;764;767;5;t;
33;5;6;10;11;t;
;761;767;768;5;t;
34;5;6;7;11;t;
;761;767;769;5;t;
35;5;7;9;11;t;
;761;769;770;5;t;
36;5;7;8;11;t;
;761;769;772;5;t;
