Number of Variables;13;
Variables:;
0;;this;
1;;negative;
2;;this._textBuffer;
3;;this._inputEnd;
4;;this._inputPtr;
5;;this._inputBuffer;
6;;outBuf;
7;;outPtr;
8;;intLen;
9;;c;
10;;eof;
11;;fractLen;
12;;expLen;

Number of Block duas;398;
Line Duas for method; parseNumberText2;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;966;976;976;0;this;
2;966;976;976;0;this;
3;966;;976;0;this;
4;966;1040;1040;0;this;
5;966;1040;1040;0;this;
6;966;;1040;0;this;
7;966;1050;1050;0;this;
8;966;1050;1050;0;this;
9;966;;1050;0;this;
10;966;;1078;0;this;
11;966;;1080;0;this;
12;966;;1076;0;this;
13;966;;1070;0;this;
14;966;1062;1062;0;this;
15;966;1062;1066;0;this;
16;966;;1066;0;this;
17;966;;1066;0;this;
18;966;1062;1063;0;this;
19;966;1062;1066;0;this;
20;966;;1058;0;this;
21;966;;1050;0;this;
22;966;;1045;0;this;
23;966;;1040;0;this;
24;966;;1035;0;this;
25;966;1011;1011;0;this;
26;966;1011;1015;0;this;
27;966;;1015;0;this;
28;966;;1015;0;this;
29;966;;1028;0;this;
30;966;;1021;0;this;
31;966;1011;1012;0;this;
32;966;1011;1015;0;this;
33;966;;1001;0;this;
34;966;991;991;0;this;
35;966;991;997;0;this;
36;966;;997;0;this;
37;966;;997;0;this;
38;966;991;993;0;this;
39;966;991;997;0;this;
40;966;;987;0;this;
41;966;;978;0;this;
42;966;;976;0;this;
43;966;970;971;1;negative;
44;966;970;975;1;negative;
45;966;;1080;1;negative;
46;966;;1078;3;this._textBuffer;
47;966;;1058;3;this._textBuffer;
48;966;;1045;3;this._textBuffer;
49;966;;1035;3;this._textBuffer;
50;966;;1021;3;this._textBuffer;
51;966;;987;3;this._textBuffer;
52;966;976;976;6;this._inputEnd;
53;966;976;976;6;this._inputEnd;
54;966;1040;1040;6;this._inputEnd;
55;966;1040;1040;6;this._inputEnd;
56;966;1050;1050;6;this._inputEnd;
57;966;1050;1050;6;this._inputEnd;
58;966;1062;1062;6;this._inputEnd;
59;966;1062;1066;6;this._inputEnd;
60;966;1011;1011;6;this._inputEnd;
61;966;1011;1015;6;this._inputEnd;
62;966;991;991;6;this._inputEnd;
63;966;991;997;6;this._inputEnd;
64;966;976;976;7;this._inputPtr;
65;966;976;976;7;this._inputPtr;
66;966;;976;7;this._inputPtr;
67;966;1040;1040;7;this._inputPtr;
68;966;1040;1040;7;this._inputPtr;
69;966;;1040;7;this._inputPtr;
70;966;1050;1050;7;this._inputPtr;
71;966;1050;1050;7;this._inputPtr;
72;966;;1050;7;this._inputPtr;
73;966;;1076;7;this._inputPtr;
74;966;1062;1062;7;this._inputPtr;
75;966;1062;1066;7;this._inputPtr;
76;966;;1066;7;this._inputPtr;
77;966;;1050;7;this._inputPtr;
78;966;;1040;7;this._inputPtr;
79;966;1011;1011;7;this._inputPtr;
80;966;1011;1015;7;this._inputPtr;
81;966;;1015;7;this._inputPtr;
82;966;991;991;7;this._inputPtr;
83;966;991;997;7;this._inputPtr;
84;966;;997;7;this._inputPtr;
85;966;;976;7;this._inputPtr;
86;966;;976;9;this._inputBuffer;
87;966;;1040;9;this._inputBuffer;
