Number of Variables;6;
Variables:;
0;;this;
1;;this.this$0;
2;;this.m_Buffer;
3;;this.m_Output;
4;;oldSize;
5;;currentSize;

Number of Block duas;18;
Line Duas for method; run;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;118;;121;0;this;
2;118;;123;0;this;
3;118;;124;0;this;
4;118;;125;0;this;
5;118;;126;0;this;
6;118;;121;3;this.this$0;
7;118;;123;3;this.this$0;
8;118;;124;3;this.this$0;
9;118;;125;3;this.this$0;
10;118;;126;3;this.this$0;
11;118;;121;4;this.m_Buffer;
12;118;;124;4;this.m_Buffer;
13;118;;126;4;this.m_Buffer;
14;118;;123;6;this.m_Output;
15;118;;125;6;this.m_Output;
16;118;122;123;1;oldSize;
17;118;122;129;1;oldSize;
18;121;122;122;2;currentSize;
19;121;122;129;2;currentSize;
20;121;;129;2;currentSize;
21;121;122;123;2;currentSize;
22;121;122;129;2;currentSize;
23;127;122;123;1;oldSize;
24;127;122;129;1;oldSize;
25;129;122;123;1;oldSize;
26;129;122;129;1;oldSize;

Block Duas for method; run;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;1;0;this;
;118;;121;0;this;
2;0;;5;0;this;
;118;;123;0;this;
;118;;124;0;this;
;118;;125;0;this;
;118;;126;0;this;
3;0;;1;1;this.this$0;
;118;;121;3;this.this$0;
4;0;;5;1;this.this$0;
;118;;123;3;this.this$0;
;118;;124;3;this.this$0;
;118;;125;3;this.this$0;
;118;;126;3;this.this$0;
5;0;;1;2;this.m_Buffer;
;118;;121;4;this.m_Buffer;
6;0;;5;2;this.m_Buffer;
;118;;124;4;this.m_Buffer;
;118;;126;4;this.m_Buffer;
7;0;;5;3;this.m_Output;
;118;;123;6;this.m_Output;
;118;;125;6;this.m_Output;
8;0;4;5;4;oldSize;
;118;122;123;1;oldSize;
9;0;4;2;4;oldSize;
;118;122;129;1;oldSize;
10;1;1;4;5;currentSize;
;121;122;122;2;currentSize;
11;1;1;2;5;currentSize;
;121;122;129;2;currentSize;
12;1;;2;5;currentSize;
;121;;129;2;currentSize;
13;1;4;5;5;currentSize;
;121;122;123;2;currentSize;
14;1;4;2;5;currentSize;
;121;122;129;2;currentSize;
15;5;4;5;4;oldSize;
;127;122;123;1;oldSize;
16;5;4;2;4;oldSize;
;127;122;129;1;oldSize;
17;2;4;5;4;oldSize;
;129;122;123;1;oldSize;
18;2;4;2;4;oldSize;
;129;122;129;1;oldSize;
