Number of Variables;7;
Variables:;
0;;this;
1;;initialCapacity;
2;;expansionFactor;
3;;contractionCriterion;
4;;expansionMode;
5;;data;
6;;INITIAL_CAPACITY_NOT_POSITIVE;

Number of Block duas;13;
Line Duas for method; <init>;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;401;;406;0;this;
2;401;;408;0;this;
3;401;;409;0;this;
4;401;;410;0;this;
5;401;;411;0;this;
6;401;;412;0;this;
7;401;;413;0;this;
8;401;;416;0;this;
9;401;402;403;1;initialCapacity;
10;401;402;406;1;initialCapacity;
11;401;;411;1;initialCapacity;
12;401;;403;1;initialCapacity;
13;401;;406;2;expansionFactor;
14;401;;408;2;expansionFactor;
15;401;;406;3;contractionCriterion;
16;401;;409;3;contractionCriterion;
17;401;;410;4;expansionMode;
18;401;415;416;5;data;
19;401;415;418;5;data;
20;401;;416;5;data;
21;401;;403;12;INITIAL_CAPACITY_NOT_POSITIVE;

Block Duas for method; <init>;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;1;0;this;
;401;;406;0;this;
;401;;408;0;this;
;401;;409;0;this;
;401;;410;0;this;
;401;;411;0;this;
;401;;412;0;this;
;401;;413;0;this;
2;0;;3;0;this;
;401;;416;0;this;
3;0;0;4;1;initialCapacity;
;401;402;403;1;initialCapacity;
4;0;0;1;1;initialCapacity;
;401;402;406;1;initialCapacity;
5;0;;1;1;initialCapacity;
;401;;411;1;initialCapacity;
6;0;;4;1;initialCapacity;
;401;;403;1;initialCapacity;
7;0;;1;2;expansionFactor;
;401;;406;2;expansionFactor;
;401;;408;2;expansionFactor;
8;0;;1;3;contractionCriterion;
;401;;406;3;contractionCriterion;
;401;;409;3;contractionCriterion;
9;0;;1;4;expansionMode;
;401;;410;4;expansionMode;
10;0;1;3;5;data;
;401;415;416;5;data;
11;0;1;2;5;data;
;401;415;418;5;data;
12;0;;3;5;data;
;401;;416;5;data;
13;0;;4;6;INITIAL_CAPACITY_NOT_POSITIVE;
;401;;403;12;INITIAL_CAPACITY_NOT_POSITIVE;
