Number of Variables;5;
Variables:;
0;;this;
1;;value;
2;;this.startIndex;
3;;this.numElements;
4;;this.internalArray;

Number of Block duas;14;
Line Duas for method; addElement;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;442;442;443;0;this;
2;442;442;445;0;this;
3;442;;445;0;this;
4;442;;445;0;this;
5;442;;443;0;this;
6;442;;445;1;value;
7;442;442;443;2;this.startIndex;
8;442;442;445;2;this.startIndex;
9;442;;445;2;this.startIndex;
10;442;442;443;3;this.numElements;
11;442;442;445;3;this.numElements;
12;442;;445;3;this.numElements;
13;442;442;443;4;this.internalArray;
14;442;442;445;4;this.internalArray;
15;442;;445;4;this.internalArray;

Block Duas for method; addElement;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;442;442;443;0;this;
2;0;0;1;0;this;
;442;442;445;0;this;
3;0;;1;0;this;
;442;;445;0;this;
;442;;445;0;this;
4;0;;2;0;this;
;442;;443;0;this;
5;0;;1;1;value;
;442;;445;1;value;
6;0;0;2;2;this.startIndex;
;442;442;443;2;this.startIndex;
7;0;0;1;2;this.startIndex;
;442;442;445;2;this.startIndex;
8;0;;1;2;this.startIndex;
;442;;445;2;this.startIndex;
9;0;0;2;3;this.numElements;
;442;442;443;3;this.numElements;
10;0;0;1;3;this.numElements;
;442;442;445;3;this.numElements;
11;0;;1;3;this.numElements;
;442;;445;3;this.numElements;
12;0;0;2;4;this.internalArray;
;442;442;443;4;this.internalArray;
13;0;0;1;4;this.internalArray;
;442;442;445;4;this.internalArray;
14;0;;1;4;this.internalArray;
;442;;445;4;this.internalArray;
