Number of Variables;6;
Variables:;
0;;this;
1;;MULTIPLICATIVE;
2;;this.expansionMode;
3;;this.internalArray;
4;;this.expansionFactor;
5;;newSize;

Number of Block duas;16;
Line Duas for method; expand;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;692;693;694;0;this;
2;692;693;696;0;this;
3;692;;696;0;this;
4;692;;701;0;this;
5;692;;702;0;this;
6;692;;694;0;this;
7;692;693;694;2;MULTIPLICATIVE;
8;692;693;696;2;MULTIPLICATIVE;
9;692;693;694;3;this.expansionMode;
10;692;693;696;3;this.expansionMode;
11;692;;696;4;this.internalArray;
12;692;;701;4;this.internalArray;
13;692;;694;4;this.internalArray;
14;692;;696;5;this.expansionFactor;
15;692;;694;5;this.expansionFactor;
16;694;;698;1;newSize;
17;696;;698;1;newSize;

Block Duas for method; expand;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;3;0;this;
;692;693;694;0;this;
2;0;0;1;0;this;
;692;693;696;0;this;
3;0;;1;0;this;
;692;;696;0;this;
4;0;;2;0;this;
;692;;701;0;this;
;692;;702;0;this;
5;0;;3;0;this;
;692;;694;0;this;
6;0;0;3;1;MULTIPLICATIVE;
;692;693;694;2;MULTIPLICATIVE;
7;0;0;1;1;MULTIPLICATIVE;
;692;693;696;2;MULTIPLICATIVE;
8;0;0;3;2;this.expansionMode;
;692;693;694;3;this.expansionMode;
9;0;0;1;2;this.expansionMode;
;692;693;696;3;this.expansionMode;
10;0;;1;3;this.internalArray;
;692;;696;4;this.internalArray;
11;0;;2;3;this.internalArray;
;692;;701;4;this.internalArray;
12;0;;3;3;this.internalArray;
;692;;694;4;this.internalArray;
13;0;;1;4;this.expansionFactor;
;692;;696;5;this.expansionFactor;
14;0;;3;4;this.expansionFactor;
;692;;694;5;this.expansionFactor;
15;3;;2;5;newSize;
;694;;698;1;newSize;
16;1;;2;5;newSize;
;696;;698;1;newSize;
