Number of Variables;5;
Variables:;
0;;this;
1;;index;
2;;this.numElements;
3;;this.internalArray;
4;;this.startIndex;

Number of Block duas;14;
Line Duas for method; getElement;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;762;762;763;0;this;
2;762;762;764;0;this;
3;762;;765;0;this;
4;762;762;763;1;index;
5;762;762;764;1;index;
6;762;764;765;1;index;
7;762;764;767;1;index;
8;762;;767;1;index;
9;762;;765;1;index;
10;762;;763;1;index;
11;762;762;763;2;this.numElements;
12;762;762;764;2;this.numElements;
13;762;;765;3;this.internalArray;
14;762;;765;4;this.startIndex;

Block Duas for method; getElement;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;4;0;this;
;762;762;763;0;this;
2;0;0;1;0;this;
;762;762;764;0;this;
3;0;;3;0;this;
;762;;765;0;this;
4;0;0;4;1;index;
;762;762;763;1;index;
5;0;0;1;1;index;
;762;762;764;1;index;
6;0;1;3;1;index;
;762;764;765;1;index;
7;0;1;2;1;index;
;762;764;767;1;index;
8;0;;2;1;index;
;762;;767;1;index;
9;0;;3;1;index;
;762;;765;1;index;
10;0;;4;1;index;
;762;;763;1;index;
11;0;0;4;2;this.numElements;
;762;762;763;2;this.numElements;
12;0;0;1;2;this.numElements;
;762;762;764;2;this.numElements;
13;0;;3;3;this.internalArray;
;762;;765;3;this.internalArray;
14;0;;3;4;this.startIndex;
;762;;765;4;this.startIndex;
