Number of Variables;5;
Variables:;
0;;this;
1;;expansionMode;
2;;UNSUPPORTED_EXPANSION_MODE;
3;;MULTIPLICATIVE;
4;;ADDITIVE;

Number of Block duas;15;
Line Duas for method; setExpansionMode;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1007;;1013;0;this;
2;1007;;1013;0;this;
3;1007;;1017;0;this;
4;1007;;1015;0;this;
5;1007;1007;1007;1;expansionMode;
6;1007;1007;1013;1;expansionMode;
7;1007;1014;1015;1;expansionMode;
8;1007;1014;1016;1;expansionMode;
9;1007;1016;1017;1;expansionMode;
10;1007;1016;1019;1;expansionMode;
11;1007;1007;1009;1;expansionMode;
12;1007;1007;1013;1;expansionMode;
13;1007;;1009;1;expansionMode;
14;1007;;1009;2;UNSUPPORTED_EXPANSION_MODE;
15;1007;;1015;4;MULTIPLICATIVE;
16;1007;;1017;5;ADDITIVE;
17;1013;;1019;3;null;

Block Duas for method; setExpansionMode;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;1;0;this;
;1007;;1013;0;this;
;1007;;1013;0;this;
2;0;;4;0;this;
;1007;;1017;0;this;
3;0;;5;0;this;
;1007;;1015;0;this;
4;0;0;6;1;expansionMode;
;1007;1007;1007;1;expansionMode;
5;0;0;1;1;expansionMode;
;1007;1007;1013;1;expansionMode;
6;0;1;5;1;expansionMode;
;1007;1014;1015;1;expansionMode;
7;0;1;2;1;expansionMode;
;1007;1014;1016;1;expansionMode;
8;0;2;4;1;expansionMode;
;1007;1016;1017;1;expansionMode;
9;0;2;3;1;expansionMode;
;1007;1016;1019;1;expansionMode;
10;0;6;7;1;expansionMode;
;1007;1007;1009;1;expansionMode;
11;0;6;1;1;expansionMode;
;1007;1007;1013;1;expansionMode;
12;0;;7;1;expansionMode;
;1007;;1009;1;expansionMode;
13;0;;7;2;UNSUPPORTED_EXPANSION_MODE;
;1007;;1009;2;UNSUPPORTED_EXPANSION_MODE;
14;0;;5;3;MULTIPLICATIVE;
;1007;;1015;4;MULTIPLICATIVE;
15;0;;4;4;ADDITIVE;
;1007;;1017;5;ADDITIVE;
