Number of Variables;10;
Variables:;
0;;this;
1;;content;
2;;this.m_Self;
3;;DEFAULT_COMMENT;
4;;DEFAULT_NORMAL;
5;;startOffset;
6;;endOffset;
7;;lineLength;
8;;contentLength;
9;;index;

Number of Block duas;61;
Line Duas for method; applyHighlighting;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;562;575;576;0;this;
2;562;575;587;0;this;
3;562;;588;0;this;
4;562;;592;0;this;
5;562;;602;0;this;
6;562;;595;0;this;
7;562;576;576;0;this;
8;562;576;579;0;this;
9;562;;579;0;this;
10;562;577;577;0;this;
11;562;577;579;0;this;
12;562;578;579;0;this;
13;562;578;587;0;this;
14;562;;592;1;content;
15;562;;602;1;content;
16;562;576;576;1;content;
17;562;576;579;1;content;
18;562;578;579;1;content;
19;562;578;587;1;content;
20;562;;588;8;this.m_Self;
21;562;;595;8;this.m_Self;
22;562;;579;8;this.m_Self;
23;562;;595;9;DEFAULT_COMMENT;
24;562;;579;9;DEFAULT_COMMENT;
25;562;;588;10;DEFAULT_NORMAL;
26;562;;588;3;startOffset;
27;562;;592;3;startOffset;
28;562;;602;3;startOffset;
29;562;576;576;3;startOffset;
30;562;576;579;3;startOffset;
31;562;;579;3;startOffset;
32;562;578;579;3;startOffset;
33;562;578;587;3;startOffset;
34;563;568;569;5;endOffset;
35;563;568;575;5;endOffset;
36;563;;602;5;endOffset;
37;563;594;595;5;endOffset;
38;563;594;602;5;endOffset;
39;563;;595;5;endOffset;
40;563;576;576;5;endOffset;
41;563;576;579;5;endOffset;
42;563;;579;5;endOffset;
43;563;578;579;5;endOffset;
44;563;578;587;5;endOffset;
45;565;;588;6;lineLength;
46;566;568;569;7;contentLength;
47;566;568;575;7;contentLength;
48;566;;569;7;contentLength;
49;569;;602;5;endOffset;
50;569;594;595;5;endOffset;
51;569;594;602;5;endOffset;
52;569;;595;5;endOffset;
53;569;576;576;5;endOffset;
54;569;576;579;5;endOffset;
55;569;;579;5;endOffset;
56;569;578;579;5;endOffset;
57;569;578;587;5;endOffset;
58;592;594;594;11;index;
59;592;594;602;11;index;
60;592;594;595;11;index;
61;592;594;602;11;index;
62;592;;595;11;index;
63;592;;597;11;index;
64;597;;602;5;endOffset;

Block Duas for method; applyHighlighting;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;1;6;0;this;
;562;575;576;0;this;
2;0;1;2;0;this;
;562;575;587;0;this;
3;0;;2;0;this;
;562;;588;0;this;
;562;;592;0;this;
4;0;;3;0;this;
;562;;602;0;this;
5;0;;5;0;this;
;562;;595;0;this;
6;0;6;8;0;this;
;562;576;576;0;this;
7;0;6;7;0;this;
;562;576;579;0;this;
8;0;;7;0;this;
;562;;579;0;this;
9;0;8;9;0;this;
;562;577;577;0;this;
10;0;8;7;0;this;
