Number of Variables;4;
Variables:;
0;;this;
1;;content;
2;;startOffset;
3;;endOffset;

Number of Block duas;38;
Line Duas for method; checkForTokens;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;682;685;686;0;this;
2;682;685;695;0;this;
3;682;695;696;0;this;
4;682;695;698;0;this;
5;682;;698;0;this;
6;682;;696;0;this;
7;682;685;686;1;content;
8;682;685;695;1;content;
9;682;695;696;1;content;
10;682;695;698;1;content;
11;682;;698;1;content;
12;682;;696;1;content;
13;682;682;685;2;startOffset;
14;682;682;701;2;startOffset;
15;682;685;686;2;startOffset;
16;682;685;695;2;startOffset;
17;682;695;696;2;startOffset;
18;682;695;698;2;startOffset;
19;682;;698;2;startOffset;
20;682;;696;2;startOffset;
21;682;686;687;2;startOffset;
22;682;686;689;2;startOffset;
23;682;;687;2;startOffset;
24;682;682;685;3;endOffset;
25;682;682;701;3;endOffset;
26;682;;698;3;endOffset;
27;682;;696;3;endOffset;
28;682;686;687;3;endOffset;
29;682;686;689;3;endOffset;
30;687;685;686;2;startOffset;
31;687;685;695;2;startOffset;
32;687;695;696;2;startOffset;
33;687;695;698;2;startOffset;
34;687;;698;2;startOffset;
35;687;;696;2;startOffset;
36;687;686;687;2;startOffset;
37;687;686;689;2;startOffset;
38;687;;687;2;startOffset;

Block Duas for method; checkForTokens;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;2;6;0;this;
;682;685;686;0;this;
2;0;2;3;0;this;
;682;685;695;0;this;
3;0;3;5;0;this;
;682;695;696;0;this;
4;0;3;4;0;this;
;682;695;698;0;this;
5;0;;4;0;this;
;682;;698;0;this;
6;0;;5;0;this;
;682;;696;0;this;
7;0;2;6;1;content;
;682;685;686;1;content;
8;0;2;3;1;content;
;682;685;695;1;content;
9;0;3;5;1;content;
;682;695;696;1;content;
10;0;3;4;1;content;
;682;695;698;1;content;
11;0;;4;1;content;
;682;;698;1;content;
12;0;;5;1;content;
;682;;696;1;content;
13;0;0;2;2;startOffset;
;682;682;685;2;startOffset;
14;0;0;1;2;startOffset;
;682;682;701;2;startOffset;
15;0;2;6;2;startOffset;
;682;685;686;2;startOffset;
16;0;2;3;2;startOffset;
;682;685;695;2;startOffset;
17;0;3;5;2;startOffset;
;682;695;696;2;startOffset;
18;0;3;4;2;startOffset;
;682;695;698;2;startOffset;
19;0;;4;2;startOffset;
;682;;698;2;startOffset;
20;0;;5;2;startOffset;
;682;;696;2;startOffset;
21;0;6;8;2;startOffset;
;682;686;687;2;startOffset;
22;0;6;7;2;startOffset;
;682;686;689;2;startOffset;
23;0;;8;2;startOffset;
;682;;687;2;startOffset;
24;0;0;2;3;endOffset;
;682;682;685;3;endOffset;
25;0;0;1;3;endOffset;
;682;682;701;3;endOffset;
26;0;;4;3;endOffset;
;682;;698;3;endOffset;
27;0;;5;3;endOffset;
;682;;696;3;endOffset;
28;0;6;8;3;endOffset;
;682;686;687;3;endOffset;
29;0;6;7;3;endOffset;
;682;686;689;3;endOffset;
30;8;2;6;2;startOffset;
;687;685;686;2;startOffset;
31;8;2;3;2;startOffset;
;687;685;695;2;startOffset;
32;8;3;5;2;startOffset;
;687;695;696;2;startOffset;
33;8;3;4;2;startOffset;
;687;695;698;2;startOffset;
34;8;;4;2;startOffset;
;687;;698;2;startOffset;
35;8;;5;2;startOffset;
;687;;696;2;startOffset;
36;8;6;8;2;startOffset;
;687;686;687;2;startOffset;
37;8;6;7;2;startOffset;
;687;686;689;2;startOffset;
38;8;;8;2;startOffset;
;687;;687;2;startOffset;
