Number of Variables;7;
Variables:;
0;;this;
1;;content;
2;;this.m_Self;
3;;DEFAULT_COMMENT;
4;;offset;
5;;startDelimiter;
6;;endDelimiter;

Number of Block duas;25;
Line Duas for method; commentLinesBefore;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;443;448;449;0;this;
2;443;448;453;0;this;
3;443;;459;0;this;
4;443;;468;0;this;
5;443;;449;0;this;
6;443;;459;1;content;
7;443;;449;1;content;
8;443;;468;7;this.m_Self;
9;443;;468;8;DEFAULT_COMMENT;
10;443;462;462;3;offset;
11;443;462;462;3;offset;
12;443;;468;3;offset;
13;443;;449;3;offset;
14;447;453;454;5;startDelimiter;
15;447;453;459;5;startDelimiter;
16;447;;459;5;startDelimiter;
17;447;;468;5;startDelimiter;
18;449;453;454;5;startDelimiter;
19;449;453;459;5;startDelimiter;
20;449;;459;5;startDelimiter;
21;449;;468;5;startDelimiter;
22;459;462;462;6;endDelimiter;
23;459;462;462;6;endDelimiter;
24;459;462;462;6;endDelimiter;
25;459;462;462;6;endDelimiter;

Block Duas for method; commentLinesBefore;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;12;0;this;
;443;448;449;0;this;
2;0;0;1;0;this;
;443;448;453;0;this;
3;0;;2;0;this;
;443;;459;0;this;
4;0;;7;0;this;
;443;;468;0;this;
5;0;;12;0;this;
;443;;449;0;this;
6;0;;2;1;content;
;443;;459;1;content;
7;0;;12;1;content;
;443;;449;1;content;
8;0;;7;2;this.m_Self;
;443;;468;7;this.m_Self;
9;0;;7;3;DEFAULT_COMMENT;
;443;;468;8;DEFAULT_COMMENT;
10;0;2;10;4;offset;
;443;462;462;3;offset;
11;0;2;3;4;offset;
;443;462;462;3;offset;
12;0;;7;4;offset;
;443;;468;3;offset;
13;0;;12;4;offset;
;443;;449;3;offset;
14;0;1;11;5;startDelimiter;
;447;453;454;5;startDelimiter;
15;0;1;2;5;startDelimiter;
;447;453;459;5;startDelimiter;
16;0;;2;5;startDelimiter;
;447;;459;5;startDelimiter;
17;0;;7;5;startDelimiter;
;447;;468;5;startDelimiter;
18;12;1;11;5;startDelimiter;
;449;453;454;5;startDelimiter;
19;12;1;2;5;startDelimiter;
;449;453;459;5;startDelimiter;
20;12;;2;5;startDelimiter;
;449;;459;5;startDelimiter;
21;12;;7;5;startDelimiter;
;449;;468;5;startDelimiter;
22;2;2;10;6;endDelimiter;
;459;462;462;6;endDelimiter;
23;2;2;3;6;endDelimiter;
;459;462;462;6;endDelimiter;
24;2;4;9;6;endDelimiter;
;459;462;462;6;endDelimiter;
25;2;4;5;6;endDelimiter;
;459;462;462;6;endDelimiter;
