Number of Variables;10;
Variables:;
0;;this;
1;;content;
2;;startOffset;
3;;endOffset;
4;;this.m_Self;
5;;DEFAULT_STRING;
6;;quoteDelimiter;
7;;escapeString;
8;;endOfQuote;
9;;index;

Number of Block duas;32;
Line Duas for method; getQuoteToken;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;712;;737;0;this;
2;712;;729;1;content;
3;712;;724;1;content;
4;712;;737;2;startOffset;
5;712;;732;3;endOffset;
6;712;731;732;3;endOffset;
7;712;731;734;3;endOffset;
8;712;722;723;3;endOffset;
9;712;722;729;3;endOffset;
10;712;;737;8;this.m_Self;
11;712;;737;9;DEFAULT_STRING;
12;712;;729;4;quoteDelimiter;
13;713;;724;5;escapeString;
14;716;;729;6;endOfQuote;
15;720;722;722;7;index;
16;720;722;729;7;index;
17;720;722;723;7;index;
18;720;722;729;7;index;
19;720;;723;7;index;
20;723;;729;6;endOfQuote;
21;724;722;722;7;index;
22;724;722;729;7;index;
23;724;722;723;7;index;
24;724;722;729;7;index;
25;724;;723;7;index;
26;729;731;731;7;index;
27;729;731;732;7;index;
28;729;731;732;7;index;
29;729;731;734;7;index;
30;729;;734;7;index;
31;732;;737;6;endOfQuote;
32;732;;740;6;endOfQuote;
33;734;;737;6;endOfQuote;
34;734;;740;6;endOfQuote;

Block Duas for method; getQuoteToken;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;4;0;this;
;712;;737;0;this;
2;0;;2;1;content;
;712;;729;1;content;
3;0;;8;1;content;
;712;;724;1;content;
4;0;;4;2;startOffset;
;712;;737;2;startOffset;
5;0;;3;3;endOffset;
;712;;732;3;endOffset;
6;0;5;3;3;endOffset;
;712;731;732;3;endOffset;
7;0;5;6;3;endOffset;
;712;731;734;3;endOffset;
8;0;7;8;3;endOffset;
;712;722;723;3;endOffset;
9;0;7;2;3;endOffset;
;712;722;729;3;endOffset;
10;0;;4;4;this.m_Self;
;712;;737;8;this.m_Self;
11;0;;4;5;DEFAULT_STRING;
;712;;737;9;DEFAULT_STRING;
12;0;;2;6;quoteDelimiter;
;712;;729;4;quoteDelimiter;
13;0;;8;7;escapeString;
;713;;724;5;escapeString;
14;0;;2;8;endOfQuote;
;716;;729;6;endOfQuote;
15;0;1;7;9;index;
;720;722;722;7;index;
16;0;1;2;9;index;
;720;722;729;7;index;
17;0;7;8;9;index;
;720;722;723;7;index;
18;0;7;2;9;index;
;720;722;729;7;index;
19;0;;8;9;index;
;720;;723;7;index;
20;8;;2;8;endOfQuote;
;723;;729;6;endOfQuote;
21;8;1;7;9;index;
;724;722;722;7;index;
22;8;1;2;9;index;
;724;722;729;7;index;
23;8;7;8;9;index;
;724;722;723;7;index;
24;8;7;2;9;index;
;724;722;729;7;index;
25;8;;8;9;index;
;724;;723;7;index;
26;2;2;5;9;index;
;729;731;731;7;index;
27;2;2;3;9;index;
;729;731;732;7;index;
28;2;5;3;9;index;
;729;731;732;7;index;
29;2;5;6;9;index;
;729;731;734;7;index;
30;2;;6;9;index;
;729;;734;7;index;
31;3;;4;8;endOfQuote;
;732;;737;6;endOfQuote;
;732;;740;6;endOfQuote;
32;6;;4;8;endOfQuote;
;734;;737;6;endOfQuote;
;734;;740;6;endOfQuote;
