Number of Variables;6;
Variables:;
0;;this;
1;;content;
2;;needle;
3;;offset;
4;;index;
5;;text;

Number of Block duas;19;
Line Duas for method; indexOf;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;784;;785;0;this;
2;784;784;785;1;content;
3;784;784;794;1;content;
4;784;;785;1;content;
5;784;784;785;2;needle;
6;784;784;794;2;needle;
7;784;787;787;2;needle;
8;784;787;794;2;needle;
9;784;787;788;2;needle;
10;784;787;790;2;needle;
11;784;784;785;3;offset;
12;784;784;794;3;offset;
13;784;;794;4;index;
14;784;;785;4;index;
15;784;;790;4;index;
16;785;787;787;5;text;
17;785;787;794;5;text;
18;785;787;788;5;text;
19;785;787;790;5;text;

Block Duas for method; indexOf;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;2;0;this;
;784;;785;0;this;
2;0;0;2;1;content;
;784;784;785;1;content;
3;0;0;1;1;content;
;784;784;794;1;content;
4;0;;2;1;content;
;784;;785;1;content;
5;0;0;2;2;needle;
;784;784;785;2;needle;
6;0;0;1;2;needle;
;784;784;794;2;needle;
7;0;2;3;2;needle;
;784;787;787;2;needle;
8;0;2;1;2;needle;
;784;787;794;2;needle;
9;0;3;5;2;needle;
;784;787;788;2;needle;
10;0;3;4;2;needle;
;784;787;790;2;needle;
11;0;0;2;3;offset;
;784;784;785;3;offset;
12;0;0;1;3;offset;
;784;784;794;3;offset;
13;0;;1;4;index;
;784;;794;4;index;
14;0;;2;4;index;
;784;;785;4;index;
15;0;;4;4;index;
;784;;790;4;index;
16;2;2;3;5;text;
;785;787;787;5;text;
17;2;2;1;5;text;
;785;787;794;5;text;
18;2;3;5;5;text;
;785;787;788;5;text;
19;2;3;4;5;text;
;785;787;790;5;text;
