Number of Variables;4;
Variables:;
0;;this;
1;;keyword;
2;;this.m_CaseSensitive;
3;;this.m_Keywords;

Number of Block duas;10;
Line Duas for method; removeKeyword;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;327;327;328;0;this;
2;327;327;330;0;this;
3;327;;330;0;this;
4;327;;328;0;this;
5;327;;330;1;keyword;
6;327;;328;1;keyword;
7;327;327;328;2;this.m_CaseSensitive;
8;327;327;330;2;this.m_CaseSensitive;
9;327;;330;3;this.m_Keywords;
10;327;;328;3;this.m_Keywords;

Block Duas for method; removeKeyword;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;3;0;this;
;327;327;328;0;this;
2;0;0;1;0;this;
;327;327;330;0;this;
3;0;;1;0;this;
;327;;330;0;this;
4;0;;3;0;this;
;327;;328;0;this;
5;0;;1;1;keyword;
;327;;330;1;keyword;
6;0;;3;1;keyword;
;327;;328;1;keyword;
7;0;0;3;2;this.m_CaseSensitive;
;327;327;328;2;this.m_CaseSensitive;
8;0;0;1;2;this.m_CaseSensitive;
;327;327;330;2;this.m_CaseSensitive;
9;0;;1;3;this.m_Keywords;
;327;;330;3;this.m_Keywords;
10;0;;3;3;this.m_Keywords;
;327;;328;3;this.m_Keywords;
