Number of Variables;7;
Variables:;
0;;attr;
1;;c;
2;;Comment;
3;;DEFAULT_COMMENT;
4;;Quote;
5;;DEFAULT_STRING;
6;;DEFAULT_NORMAL;

Number of Block duas;14;
Line Duas for method; setAttributeColor;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;258;258;259;1;attr;
2;258;258;260;1;attr;
3;258;260;261;1;attr;
4;258;260;263;1;attr;
5;258;;263;2;c;
6;258;;261;2;c;
7;258;;259;2;c;
8;258;258;259;3;Comment;
9;258;258;260;3;Comment;
10;258;;259;4;DEFAULT_COMMENT;
11;258;260;261;5;Quote;
12;258;260;263;5;Quote;
13;258;;261;6;DEFAULT_STRING;
14;258;;263;7;DEFAULT_NORMAL;

Block Duas for method; setAttributeColor;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;5;0;attr;
;258;258;259;1;attr;
2;0;0;1;0;attr;
;258;258;260;1;attr;
3;0;1;4;0;attr;
;258;260;261;1;attr;
4;0;1;2;0;attr;
;258;260;263;1;attr;
5;0;;2;1;c;
;258;;263;2;c;
6;0;;4;1;c;
;258;;261;2;c;
7;0;;5;1;c;
;258;;259;2;c;
8;0;0;5;2;Comment;
;258;258;259;3;Comment;
9;0;0;1;2;Comment;
;258;258;260;3;Comment;
10;0;;5;3;DEFAULT_COMMENT;
;258;;259;4;DEFAULT_COMMENT;
11;0;1;4;4;Quote;
;258;260;261;5;Quote;
12;0;1;2;4;Quote;
;258;260;263;5;Quote;
13;0;;4;5;DEFAULT_STRING;
;258;;261;6;DEFAULT_STRING;
14;0;;2;6;DEFAULT_NORMAL;
;258;;263;7;DEFAULT_NORMAL;
