Number of Variables;9;
Variables:;
0;;this;
1;;str;
2;;offset;
3;;len;
4;;this._inputStart;
5;;this._currentSegment;
6;;this._currentSize;
7;;curr;
8;;max;

Number of Block duas;41;
Line Duas for method; append;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;484;484;485;0;this;
2;484;484;487;0;this;
3;484;;487;0;this;
4;484;;488;0;this;
5;484;;491;0;this;
6;484;;492;0;this;
7;484;;509;0;this;
8;484;;510;0;this;
9;484;;511;0;this;
10;484;;512;0;this;
11;484;;500;0;this;
12;484;;494;0;this;
13;484;;495;0;this;
14;484;;485;0;this;
15;484;;511;1;str;
16;484;;500;1;str;
17;484;;494;1;str;
18;484;;511;2;offset;
19;484;;513;2;offset;
20;484;;500;2;offset;
21;484;;502;2;offset;
22;484;;494;2;offset;
23;484;493;494;3;len;
24;484;493;499;3;len;
25;484;;509;3;len;
26;484;;510;3;len;
27;484;;514;3;len;
28;484;;501;3;len;
29;484;;494;3;len;
30;484;;495;3;len;
31;484;;485;3;len;
32;484;484;485;4;this._inputStart;
33;484;484;487;4;this._inputStart;
34;484;;491;8;this._currentSegment;
35;484;;510;8;this._currentSegment;
36;484;;511;8;this._currentSegment;
37;484;;492;10;this._currentSize;
38;484;;512;10;this._currentSize;
39;484;;500;10;this._currentSize;
40;484;;494;10;this._currentSize;
41;484;;495;10;this._currentSize;
42;491;;500;7;curr;
43;491;;494;7;curr;
44;492;493;494;9;max;
45;492;493;499;9;max;
46;492;499;500;9;max;
47;492;499;509;9;max;
48;492;;500;9;max;
49;492;;501;9;max;
50;492;;502;9;max;
51;501;;509;3;len;
52;501;;510;3;len;
53;501;;514;3;len;
54;502;;511;2;offset;
55;502;;513;2;offset;
56;512;;512;10;this._currentSize;
57;513;;511;2;offset;
58;513;;513;2;offset;
59;514;515;516;3;len;
60;514;515;509;3;len;
61;514;;509;3;len;
62;514;;510;3;len;
63;514;;514;3;len;

Block Duas for method; append;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;7;0;this;
;484;484;485;0;this;
2;0;0;1;0;this;
;484;484;487;0;this;
3;0;;1;0;this;
;484;;487;0;this;
;484;;488;0;this;
;484;;491;0;this;
;484;;492;0;this;
4;0;;3;0;this;
;484;;509;0;this;
;484;;510;0;this;
;484;;511;0;this;
;484;;512;0;this;
5;0;;5;0;this;
;484;;500;0;this;
6;0;;6;0;this;
;484;;494;0;this;
;484;;495;0;this;
7;0;;7;0;this;
;484;;485;0;this;
8;0;;3;1;str;
;484;;511;1;str;
9;0;;5;1;str;
;484;;500;1;str;
10;0;;6;1;str;
;484;;494;1;str;
11;0;;3;2;offset;
;484;;511;2;offset;
;484;;513;2;offset;
12;0;;5;2;offset;
;484;;500;2;offset;
;484;;502;2;offset;
13;0;;6;2;offset;
;484;;494;2;offset;
14;0;1;6;3;len;
;484;493;494;3;len;
15;0;1;2;3;len;
;484;493;499;3;len;
16;0;;3;3;len;
;484;;509;3;len;
;484;;510;3;len;
;484;;514;3;len;
17;0;;5;3;len;
;484;;501;3;len;
18;0;;6;3;len;
;484;;494;3;len;
;484;;495;3;len;
19;0;;7;3;len;
;484;;485;3;len;
20;0;0;7;4;this._inputStart;
;484;484;485;4;this._inputStart;
21;0;0;1;4;this._inputStart;
;484;484;487;4;this._inputStart;
22;0;;1;5;this._currentSegment;
;484;;491;8;this._currentSegment;
23;0;;3;5;this._currentSegment;
;484;;510;8;this._currentSegment;
;484;;511;8;this._currentSegment;
24;0;;1;6;this._currentSize;
;484;;492;10;this._currentSize;
25;0;;3;6;this._currentSize;
;484;;512;10;this._currentSize;
26;0;;5;6;this._currentSize;
;484;;500;10;this._currentSize;
27;0;;6;6;this._currentSize;
;484;;494;10;this._currentSize;
;484;;495;10;this._currentSize;
28;1;;5;7;curr;
;491;;500;7;curr;
29;1;;6;7;curr;
;491;;494;7;curr;
30;1;1;6;8;max;
;492;493;494;9;max;
31;1;1;2;8;max;
;492;493;499;9;max;
32;1;2;5;8;max;
;492;499;500;9;max;
33;1;2;3;8;max;
;492;499;509;9;max;
34;1;;5;8;max;
;492;;500;9;max;
;492;;501;9;max;
;492;;502;9;max;
35;5;;3;3;len;
;501;;509;3;len;
;501;;510;3;len;
;501;;514;3;len;
36;5;;3;2;offset;
;502;;511;2;offset;
;502;;513;2;offset;
37;3;;3;6;this._currentSize;
;512;;512;10;this._currentSize;
38;3;;3;2;offset;
;513;;511;2;offset;
;513;;513;2;offset;
39;3;3;4;3;len;
;514;515;516;3;len;
40;3;3;3;3;len;
;514;515;509;3;len;
41;3;;3;3;len;
;514;;509;3;len;
;514;;510;3;len;
;514;;514;3;len;
