Number of Variables;8;
Variables:;
0;;this;
1;;this._resultArray;
2;;this._inputStart;
3;;this._inputBuffer;
4;;this._inputLen;
5;;this._segmentSize;
6;;this._currentSegment;
7;;this._currentSize;

Number of Block duas;22;
Line Duas for method; contentsAsDecimal;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;386;386;387;0;this;
2;386;386;390;0;this;
3;386;390;391;0;this;
4;386;390;394;0;this;
5;386;394;395;0;this;
6;386;394;398;0;this;
7;386;;398;0;this;
8;386;;395;0;this;
9;386;;391;0;this;
10;386;;387;0;this;
11;386;386;387;1;this._resultArray;
12;386;386;390;1;this._resultArray;
13;386;;387;1;this._resultArray;
14;386;390;391;2;this._inputStart;
15;386;390;394;2;this._inputStart;
16;386;;391;2;this._inputStart;
17;386;;391;3;this._inputBuffer;
18;386;;391;4;this._inputLen;
19;386;394;395;5;this._segmentSize;
20;386;394;398;5;this._segmentSize;
21;386;;395;6;this._currentSegment;
22;386;;395;7;this._currentSize;

Block Duas for method; contentsAsDecimal;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;6;0;this;
;386;386;387;0;this;
2;0;0;1;0;this;
;386;386;390;0;this;
3;0;1;5;0;this;
;386;390;391;0;this;
4;0;1;2;0;this;
;386;390;394;0;this;
5;0;2;4;0;this;
;386;394;395;0;this;
6;0;2;3;0;this;
;386;394;398;0;this;
7;0;;3;0;this;
;386;;398;0;this;
8;0;;4;0;this;
;386;;395;0;this;
9;0;;5;0;this;
;386;;391;0;this;
10;0;;6;0;this;
;386;;387;0;this;
11;0;0;6;1;this._resultArray;
;386;386;387;1;this._resultArray;
12;0;0;1;1;this._resultArray;
;386;386;390;1;this._resultArray;
13;0;;6;1;this._resultArray;
;386;;387;1;this._resultArray;
14;0;1;5;2;this._inputStart;
;386;390;391;2;this._inputStart;
15;0;1;2;2;this._inputStart;
;386;390;394;2;this._inputStart;
16;0;;5;2;this._inputStart;
;386;;391;2;this._inputStart;
17;0;;5;3;this._inputBuffer;
;386;;391;3;this._inputBuffer;
18;0;;5;4;this._inputLen;
;386;;391;4;this._inputLen;
19;0;2;4;5;this._segmentSize;
;386;394;395;5;this._segmentSize;
20;0;2;3;5;this._segmentSize;
;386;394;398;5;this._segmentSize;
21;0;;4;6;this._currentSegment;
;386;;395;6;this._currentSegment;
22;0;;4;7;this._currentSize;
;386;;395;7;this._currentSize;
