Number of Variables;15;
Variables:;
0;;this;
1;;this._resultString;
2;;this._resultArray;
3;;this._inputStart;
4;;this._inputLen;
5;;this._inputBuffer;
6;;this._segmentSize;
7;;this._currentSize;
8;;this._currentSegment;
9;;this._segments;
10;;segLen;
11;;currLen;
12;;sb;
13;;i;
14;;len;

Number of Block duas;63;
Line Duas for method; contentsAsString;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;332;332;334;0;this;
2;332;332;366;0;this;
3;332;;366;0;this;
4;332;334;335;0;this;
5;332;334;338;0;this;
6;332;338;339;0;this;
7;332;338;345;0;this;
8;332;;345;0;this;
9;332;;346;0;this;
10;332;353;354;0;this;
11;332;353;360;0;this;
12;332;;360;0;this;
13;332;;361;0;this;
14;332;;354;0;this;
15;332;;355;0;this;
16;332;;349;0;this;
17;332;;349;0;this;
18;332;339;340;0;this;
19;332;339;342;0;this;
20;332;;342;0;this;
21;332;;342;0;this;
22;332;;340;0;this;
23;332;;335;0;this;
24;332;;335;0;this;
25;332;332;334;1;this._resultString;
26;332;332;366;1;this._resultString;
27;332;;366;1;this._resultString;
28;332;334;335;2;this._resultArray;
29;332;334;338;2;this._resultArray;
30;332;;335;2;this._resultArray;
31;332;338;339;3;this._inputStart;
32;332;338;345;3;this._inputStart;
33;332;;342;3;this._inputStart;
34;332;339;340;4;this._inputLen;
35;332;339;342;4;this._inputLen;
36;332;;342;4;this._inputLen;
37;332;;342;5;this._inputBuffer;
38;332;;345;7;this._segmentSize;
39;332;;346;9;this._currentSize;
40;332;;360;9;this._currentSize;
41;332;;360;10;this._currentSegment;
42;332;;349;10;this._currentSegment;
43;332;353;354;12;this._segments;
44;332;353;360;12;this._segments;
45;332;;354;12;this._segments;
46;332;;355;12;this._segments;
47;335;;366;1;this._resultString;
48;342;;366;1;this._resultString;
49;345;348;349;6;segLen;
50;345;348;351;6;segLen;
51;345;;351;6;segLen;
52;346;;351;8;currLen;
53;346;349;349;8;currLen;
54;346;349;349;8;currLen;
55;346;;349;8;currLen;
56;349;;366;1;this._resultString;
57;351;;360;11;sb;
58;351;;361;11;sb;
59;351;;356;11;sb;
60;354;354;355;13;i;
61;354;354;360;13;i;
62;354;;355;13;i;
63;354;;354;13;i;
64;354;354;355;14;len;
65;354;354;360;14;len;
66;354;354;355;13;i;
67;354;354;360;13;i;
68;354;;355;13;i;
69;354;;354;13;i;
70;361;;366;1;this._resultString;

Block Duas for method; contentsAsString;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;332;332;334;0;this;
2;0;0;1;0;this;
;332;332;366;0;this;
3;0;;1;0;this;
;332;;366;0;this;
4;0;2;17;0;this;
;332;334;335;0;this;
5;0;2;3;0;this;
;332;334;338;0;this;
6;0;3;14;0;this;
;332;338;339;0;this;
7;0;3;4;0;this;
;332;338;345;0;this;
8;0;;4;0;this;
;332;;345;0;this;
;332;;346;0;this;
9;0;5;7;0;this;
;332;353;354;0;this;
10;0;5;6;0;this;
;332;353;360;0;this;
11;0;;6;0;this;
;332;;360;0;this;
;332;;361;0;this;
12;0;;7;0;this;
;332;;354;0;this;
13;0;;9;0;this;
;332;;355;0;this;
14;0;;11;0;this;
;332;;349;0;this;
15;0;;12;0;this;
;332;;349;0;this;
16;0;14;16;0;this;
;332;339;340;0;this;
17;0;14;15;0;this;
;332;339;342;0;this;
18;0;;15;0;this;
;332;;342;0;this;
;332;;342;0;this;
19;0;;16;0;this;
;332;;340;0;this;
20;0;;17;0;this;
;332;;335;0;this;
;332;;335;0;this;
21;0;0;2;1;this._resultString;
;332;332;334;1;this._resultString;
22;0;0;1;1;this._resultString;
;332;332;366;1;this._resultString;
23;0;;1;1;this._resultString;
;332;;366;1;this._resultString;
24;0;2;17;2;this._resultArray;
;332;334;335;2;this._resultArray;
25;0;2;3;2;this._resultArray;
;332;334;338;2;this._resultArray;
26;0;;17;2;this._resultArray;
;332;;335;2;this._resultArray;
27;0;3;14;3;this._inputStart;
;332;338;339;3;this._inputStart;
28;0;3;4;3;this._inputStart;
;332;338;345;3;this._inputStart;
29;0;;15;3;this._inputStart;
;332;;342;3;this._inputStart;
30;0;14;16;4;this._inputLen;
;332;339;340;4;this._inputLen;
31;0;14;15;4;this._inputLen;
;332;339;342;4;this._inputLen;
32;0;;15;4;this._inputLen;
;332;;342;4;this._inputLen;
33;0;;15;5;this._inputBuffer;
;332;;342;5;this._inputBuffer;
34;0;;4;6;this._segmentSize;
;332;;345;7;this._segmentSize;
35;0;;4;7;this._currentSize;
;332;;346;9;this._currentSize;
36;0;;6;7;this._currentSize;
;332;;360;9;this._currentSize;
37;0;;6;8;this._currentSegment;
;332;;360;10;this._currentSegment;
38;0;;11;8;this._currentSegment;
;332;;349;10;this._currentSegment;
39;0;5;7;9;this._segments;
;332;353;354;12;this._segments;
40;0;5;6;9;this._segments;
;332;353;360;12;this._segments;
41;0;;7;9;this._segments;
;332;;354;12;this._segments;
42;0;;9;9;this._segments;
;332;;355;12;this._segments;
43;17;;1;1;this._resultString;
;335;;366;1;this._resultString;
44;15;;1;1;this._resultString;
;342;;366;1;this._resultString;
45;4;4;10;10;segLen;
;345;348;349;6;segLen;
46;4;4;5;10;segLen;
;345;348;351;6;segLen;
47;4;;5;10;segLen;
;345;;351;6;segLen;
48;4;;5;11;currLen;
;346;;351;8;currLen;
49;4;10;13;11;currLen;
;346;349;349;8;currLen;
50;4;10;11;11;currLen;
;346;349;349;8;currLen;
51;4;;11;11;currLen;
;346;;349;8;currLen;
52;12;;1;1;this._resultString;
;349;;366;1;this._resultString;
53;5;;6;12;sb;
;351;;360;11;sb;
;351;;361;11;sb;
54;5;;9;12;sb;
;351;;356;11;sb;
55;7;8;9;13;i;
;354;354;355;13;i;
56;7;8;6;13;i;
;354;354;360;13;i;
57;7;;9;13;i;
;354;;355;13;i;
;354;;354;13;i;
58;7;8;9;14;len;
;354;354;355;14;len;
59;7;8;6;14;len;
;354;354;360;14;len;
60;9;8;9;13;i;
;354;354;355;13;i;
61;9;8;6;13;i;
;354;354;360;13;i;
62;9;;9;13;i;
;354;;355;13;i;
;354;;354;13;i;
63;6;;1;1;this._resultString;
;361;;366;1;this._resultString;
