Number of Variables;2;
Variables:;
0;;this;
1;;this._inputStart;

Number of Block duas;5;
Line Duas for method; ensureNotShared;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;422;422;423;0;this;
2;422;422;425;0;this;
3;422;;423;0;this;
4;422;422;423;1;this._inputStart;
5;422;422;425;1;this._inputStart;

Block Duas for method; ensureNotShared;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;422;422;423;0;this;
2;0;0;1;0;this;
;422;422;425;0;this;
3;0;;2;0;this;
;422;;423;0;this;
4;0;0;2;1;this._inputStart;
;422;422;423;1;this._inputStart;
5;0;0;1;1;this._inputStart;
;422;422;425;1;this._inputStart;
