Number of Variables;4;
Variables:;
0;;this;
1;;needed;
2;;this._allocator;
3;;TEXT_BUFFER;

Number of Block duas;9;
Line Duas for method; findBuffer;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;235;235;236;0;this;
2;235;235;238;0;this;
3;235;;236;0;this;
4;235;;238;1;needed;
5;235;;236;1;needed;
6;235;235;236;2;this._allocator;
7;235;235;238;2;this._allocator;
8;235;;236;2;this._allocator;
9;235;;236;3;TEXT_BUFFER;

Block Duas for method; findBuffer;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;235;235;236;0;this;
2;0;0;1;0;this;
;235;235;238;0;this;
3;0;;2;0;this;
;235;;236;0;this;
4;0;;1;1;needed;
;235;;238;1;needed;
5;0;;2;1;needed;
;235;;236;1;needed;
6;0;0;2;2;this._allocator;
;235;235;236;2;this._allocator;
7;0;0;1;2;this._allocator;
;235;235;238;2;this._allocator;
8;0;;2;2;this._allocator;
;235;;236;2;this._allocator;
9;0;;2;3;TEXT_BUFFER;
;235;;236;3;TEXT_BUFFER;
