Number of Variables;2;
Variables:;
0;;this;
1;;this._inputStart;

Number of Block duas;6;
Line Duas for method; getTextOffset;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;284;284;284;0;this;
2;284;284;284;0;this;
3;284;;284;0;this;
4;284;284;284;1;this._inputStart;
5;284;284;284;1;this._inputStart;
6;284;;284;1;this._inputStart;

Block Duas for method; getTextOffset;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;3;0;this;
;284;284;284;0;this;
2;0;0;1;0;this;
;284;284;284;0;this;
3;0;;2;0;this;
;284;;284;0;this;
4;0;0;3;1;this._inputStart;
;284;284;284;1;this._inputStart;
5;0;0;1;1;this._inputStart;
;284;284;284;1;this._inputStart;
6;0;;2;1;this._inputStart;
;284;;284;1;this._inputStart;
