Number of Variables;4;
Variables:;
0;;this;
1;;this._inputStart;
2;;this._resultArray;
3;;this._resultString;

Number of Block duas;12;
Line Duas for method; hasTextAsCharacters;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;294;294;294;0;this;
2;294;294;295;0;this;
3;294;294;295;0;this;
4;294;294;298;0;this;
5;294;298;299;0;this;
6;294;298;301;0;this;
7;294;294;294;1;this._inputStart;
8;294;294;295;1;this._inputStart;
9;294;294;295;2;this._resultArray;
10;294;294;298;2;this._resultArray;
11;294;298;299;3;this._resultString;
12;294;298;301;3;this._resultString;

Block Duas for method; hasTextAsCharacters;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;294;294;294;0;this;
2;0;0;1;0;this;
;294;294;295;0;this;
3;0;2;1;0;this;
;294;294;295;0;this;
4;0;2;3;0;this;
;294;294;298;0;this;
5;0;3;5;0;this;
;294;298;299;0;this;
6;0;3;4;0;this;
;294;298;301;0;this;
7;0;0;2;1;this._inputStart;
;294;294;294;1;this._inputStart;
8;0;0;1;1;this._inputStart;
;294;294;295;1;this._inputStart;
9;0;2;1;2;this._resultArray;
;294;294;295;2;this._resultArray;
10;0;2;3;2;this._resultArray;
;294;294;298;2;this._resultArray;
11;0;3;5;3;this._resultString;
;294;298;299;3;this._resultString;
12;0;3;4;3;this._resultString;
;294;298;301;3;this._resultString;
