Number of Variables;2;
Variables:;
0;;ZERO_STAT;
1;;stat;

Number of Block duas;4;
Line Duas for method; getStatsForType;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;629;;630;2;ZERO_STAT;
2;629;630;630;1;stat;
3;629;630;630;1;stat;
4;629;;630;1;stat;

Block Duas for method; getStatsForType;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;2;0;ZERO_STAT;
;629;;630;2;ZERO_STAT;
2;0;0;3;1;stat;
;629;630;630;1;stat;
3;0;0;1;1;stat;
;629;630;630;1;stat;
4;0;;2;1;stat;
;629;;630;1;stat;
