Number of Variables;1;
Variables:;
0;;typeToSilentMap;

Number of Block duas;3;
Line Duas for method; getTypeToSilentMap;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;615;615;615;0;typeToSilentMap;
2;615;615;615;0;typeToSilentMap;
3;615;;615;0;typeToSilentMap;

Block Duas for method; getTypeToSilentMap;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;3;0;typeToSilentMap;
;615;615;615;0;typeToSilentMap;
2;0;0;1;0;typeToSilentMap;
;615;615;615;0;typeToSilentMap;
3;0;;2;0;typeToSilentMap;
;615;;615;0;typeToSilentMap;
