Number of Variables;1;
Variables:;
0;;typeToTimeMap;

Number of Block duas;3;
Line Duas for method; getTypeToTimeMap;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;624;624;624;0;typeToTimeMap;
2;624;624;624;0;typeToTimeMap;
3;624;;624;0;typeToTimeMap;

Block Duas for method; getTypeToTimeMap;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;3;0;typeToTimeMap;
;624;624;624;0;typeToTimeMap;
2;0;0;1;0;typeToTimeMap;
;624;624;624;0;typeToTimeMap;
3;0;;2;0;typeToTimeMap;
;624;;624;0;typeToTimeMap;
