Number of Variables;6;
Variables:;
0;;this;
1;;this._inputBuffer;
2;;c1;
3;;this._inputPtr;
4;;d;
5;;c;

Number of Block duas;17;
Line Duas for method; _decodeUtf8_3fast;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;2847;;2853;0;this;
2;2847;;2853;0;this;
3;2847;;2855;0;this;
4;2847;;2850;0;this;
5;2847;;2853;4;this._inputBuffer;
6;2847;;2852;1;c1;
7;2848;;2853;2;this._inputPtr;
8;2848;;2850;2;this._inputPtr;
9;2848;2849;2850;3;d;
10;2848;2849;2852;3;d;
11;2848;;2852;3;d;
12;2848;;2850;3;d;
13;2852;;2857;5;c;
14;2853;;2855;2;this._inputPtr;
15;2853;2854;2855;3;d;
16;2853;2854;2857;3;d;
17;2853;;2857;3;d;
18;2853;;2855;3;d;

Block Duas for method; _decodeUtf8_3fast;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;1;0;this;
;2847;;2853;0;this;
;2847;;2853;0;this;
2;0;;3;0;this;
;2847;;2855;0;this;
3;0;;4;0;this;
;2847;;2850;0;this;
4;0;;1;1;this._inputBuffer;
;2847;;2853;4;this._inputBuffer;
5;0;;1;2;c1;
;2847;;2852;1;c1;
6;0;;1;3;this._inputPtr;
;2848;;2853;2;this._inputPtr;
7;0;;4;3;this._inputPtr;
;2848;;2850;2;this._inputPtr;
8;0;0;4;4;d;
;2848;2849;2850;3;d;
9;0;0;1;4;d;
;2848;2849;2852;3;d;
10;0;;1;4;d;
;2848;;2852;3;d;
11;0;;4;4;d;
;2848;;2850;3;d;
12;1;;2;5;c;
;2852;;2857;5;c;
13;1;;3;3;this._inputPtr;
;2853;;2855;2;this._inputPtr;
14;1;1;3;4;d;
;2853;2854;2855;3;d;
15;1;1;2;4;d;
;2853;2854;2857;3;d;
16;1;;2;4;d;
;2853;;2857;3;d;
17;1;;3;4;d;
;2853;;2855;3;d;
