Number of Variables;5;
Variables:;
0;;this;
1;;t;
2;;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
3;;this._parsingContext;
4;;this._textBuffer;

Number of Block duas;13;
Line Duas for method; _getText2;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;310;;321;0;this;
2;310;;315;0;this;
3;310;310;311;1;t;
4;310;310;313;1;t;
5;310;313;323;1;t;
6;310;313;315;1;t;
7;310;313;321;1;t;
8;310;;323;1;t;
9;310;313;323;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
10;310;313;315;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
11;310;313;321;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
12;310;;315;3;this._parsingContext;
13;310;;321;4;this._textBuffer;

Block Duas for method; _getText2;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;2;0;this;
;310;;321;0;this;
2;0;;3;0;this;
;310;;315;0;this;
3;0;0;5;1;t;
;310;310;311;1;t;
4;0;0;1;1;t;
;310;310;313;1;t;
5;0;1;4;1;t;
;310;313;323;1;t;
6;0;1;3;1;t;
;310;313;315;1;t;
7;0;1;2;1;t;
;310;313;321;1;t;
8;0;;4;1;t;
;310;;323;1;t;
9;0;1;4;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;310;313;323;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
10;0;1;3;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;310;313;315;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
11;0;1;2;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;310;313;321;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
12;0;;3;3;this._parsingContext;
;310;;315;3;this._parsingContext;
13;0;;2;4;this._textBuffer;
;310;;321;4;this._textBuffer;
