Number of Variables;12;
Variables:;
0;;this;
1;;this._textBuffer;
2;;this._inputEnd;
3;;this._inputPtr;
4;;VALUE_STRING;
5;;outPtr;
6;;outBuf;
7;;codes;
8;;inputBuffer;
9;;max;
10;;max2;
11;;c;

Number of Block duas;175;
Line Duas for method; _handleApostropheValue;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;2291;2305;2306;0;this;
2;2291;2305;2308;0;this;
3;2291;;2312;0;this;
4;2291;;2314;0;this;
5;2291;2319;2320;0;this;
6;2291;2319;2326;0;this;
7;2291;;2320;0;this;
8;2291;;2320;0;this;
9;2291;;2350;0;this;
10;2291;;2369;0;this;
11;2291;;2354;0;this;
12;2291;2343;2344;0;this;
13;2291;2343;2346;0;this;
14;2291;;2346;0;this;
15;2291;;2344;0;this;
16;2291;;2340;0;this;
17;2291;;2336;0;this;
18;2291;;2365;0;this;
19;2291;;2362;0;this;
20;2291;;2375;0;this;
21;2291;;2309;0;this;
22;2291;;2306;0;this;
23;2291;;2369;4;this._textBuffer;
24;2291;;2354;4;this._textBuffer;
25;2291;;2375;4;this._textBuffer;
26;2291;;2309;4;this._textBuffer;
27;2291;2305;2306;9;this._inputEnd;
28;2291;2305;2308;9;this._inputEnd;
29;2291;;2312;9;this._inputEnd;
30;2291;2343;2344;9;this._inputEnd;
31;2291;2343;2346;9;this._inputEnd;
32;2291;2305;2306;10;this._inputPtr;
33;2291;2305;2308;10;this._inputPtr;
34;2291;;2314;10;this._inputPtr;
35;2291;2319;2320;10;this._inputPtr;
36;2291;2319;2326;10;this._inputPtr;
37;2291;;2320;10;this._inputPtr;
38;2291;;2377;13;VALUE_STRING;
39;2293;2308;2309;2;outPtr;
40;2293;2308;2312;2;outPtr;
41;2293;;2314;2;outPtr;
42;2293;;2352;2;outPtr;
43;2293;2368;2369;2;outPtr;
44;2293;2368;2373;2;outPtr;
45;2293;;2373;2;outPtr;
46;2293;;2375;2;outPtr;
47;2293;;2324;2;outPtr;
48;2294;2308;2309;3;outBuf;
49;2294;2308;2312;3;outBuf;
50;2294;;2314;3;outBuf;
51;2294;;2352;3;outBuf;
52;2294;2353;2354;3;outBuf;
53;2294;2353;2357;3;outBuf;
54;2294;2368;2369;3;outBuf;
55;2294;2368;2373;3;outBuf;
56;2294;;2373;3;outBuf;
57;2294;;2324;3;outBuf;
58;2297;2333;2361;5;codes;
59;2297;2333;2335;5;codes;
60;2297;2333;2340;5;codes;
61;2297;2333;2343;5;codes;
62;2297;2333;2350;5;codes;
63;2297;2321;2322;5;codes;
64;2297;2321;2324;5;codes;
65;2298;;2320;7;inputBuffer;
66;2309;;2314;3;outBuf;
67;2309;2308;2309;3;outBuf;
68;2309;2308;2312;3;outBuf;
69;2309;;2352;3;outBuf;
70;2309;2353;2354;3;outBuf;
71;2309;2353;2357;3;outBuf;
72;2309;2368;2369;3;outBuf;
73;2309;2368;2373;3;outBuf;
74;2309;;2373;3;outBuf;
75;2309;;2324;3;outBuf;
76;2310;;2314;2;outPtr;
77;2310;2308;2309;2;outPtr;
78;2310;2308;2312;2;outPtr;
79;2310;;2352;2;outPtr;
80;2310;2368;2369;2;outPtr;
81;2310;2368;2373;2;outPtr;
82;2310;;2373;2;outPtr;
83;2310;;2375;2;outPtr;
84;2310;;2324;2;outPtr;
85;2312;2315;2316;11;max;
86;2312;2315;2319;11;max;
87;2312;2319;2320;11;max;
88;2312;2319;2326;11;max;
89;2314;2315;2316;12;max2;
90;2314;2315;2319;12;max2;
91;2314;;2316;12;max2;
92;2316;2319;2320;11;max;
93;2316;2319;2326;11;max;
94;2320;2305;2306;10;this._inputPtr;
95;2320;2305;2308;10;this._inputPtr;
96;2320;;2314;10;this._inputPtr;
97;2320;2319;2320;10;this._inputPtr;
98;2320;2319;2326;10;this._inputPtr;
