Number of Variables;8;
Variables:;
0;;this;
1;;ch;
2;;neg;
3;;this._inputEnd;
4;;this._inputPtr;
5;;this._inputBuffer;
6;;ALLOW_NON_NUMERIC_NUMBERS;
7;;match;

Number of Block duas;40;
Line Duas for method; _handleInvalidNumberStart;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;2387;;2408;0;this;
2;2387;2388;2389;0;this;
3;2387;2388;2393;0;this;
4;2387;;2393;0;this;
5;2387;;2393;0;this;
6;2387;;2402;0;this;
7;2387;2403;2404;0;this;
8;2387;2403;2406;0;this;
9;2387;;2406;0;this;
10;2387;;2404;0;this;
11;2387;2389;2390;0;this;
12;2387;2389;2393;0;this;
13;2387;;2390;0;this;
14;2387;2387;2388;1;ch;
15;2387;2387;2408;1;ch;
16;2387;;2408;1;ch;
17;2387;2398;2398;2;neg;
18;2387;2398;2398;2;neg;
19;2387;2404;2404;2;neg;
20;2387;2404;2404;2;neg;
21;2387;2396;2396;2;neg;
22;2387;2396;2396;2;neg;
23;2387;2388;2389;3;this._inputEnd;
24;2387;2388;2393;3;this._inputEnd;
25;2387;2388;2389;4;this._inputPtr;
26;2387;2388;2393;4;this._inputPtr;
27;2387;;2393;4;this._inputPtr;
28;2387;;2393;5;this._inputBuffer;
29;2387;2403;2404;7;ALLOW_NON_NUMERIC_NUMBERS;
30;2387;2403;2406;7;ALLOW_NON_NUMERIC_NUMBERS;
31;2393;2395;2396;1;ch;
32;2393;2395;2397;1;ch;
33;2393;2397;2398;1;ch;
34;2393;2397;2408;1;ch;
35;2393;;2408;1;ch;
36;2396;;2402;6;match;
37;2396;;2406;6;match;
38;2396;;2404;6;match;
39;2398;;2402;6;match;
40;2398;;2406;6;match;
41;2398;;2404;6;match;

Block Duas for method; _handleInvalidNumberStart;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;1;0;this;
;2387;;2408;0;this;
2;0;2;19;0;this;
;2387;2388;2389;0;this;
3;0;2;3;0;this;
;2387;2388;2393;0;this;
4;0;;3;0;this;
;2387;;2393;0;this;
;2387;;2393;0;this;
5;0;;8;0;this;
;2387;;2402;0;this;
6;0;8;10;0;this;
;2387;2403;2404;0;this;
7;0;8;9;0;this;
;2387;2403;2406;0;this;
8;0;;9;0;this;
;2387;;2406;0;this;
9;0;;12;0;this;
;2387;;2404;0;this;
10;0;19;20;0;this;
;2387;2389;2390;0;this;
11;0;19;3;0;this;
;2387;2389;2393;0;this;
12;0;;20;0;this;
;2387;;2390;0;this;
13;0;0;2;1;ch;
;2387;2387;2388;1;ch;
14;0;0;1;1;ch;
;2387;2387;2408;1;ch;
15;0;;1;1;ch;
;2387;;2408;1;ch;
16;0;5;14;2;neg;
;2387;2398;2398;2;neg;
17;0;5;6;2;neg;
;2387;2398;2398;2;neg;
18;0;10;13;2;neg;
;2387;2404;2404;2;neg;
19;0;10;11;2;neg;
;2387;2404;2404;2;neg;
20;0;15;18;2;neg;
;2387;2396;2396;2;neg;
21;0;15;16;2;neg;
;2387;2396;2396;2;neg;
22;0;2;19;3;this._inputEnd;
;2387;2388;2389;3;this._inputEnd;
23;0;2;3;3;this._inputEnd;
;2387;2388;2393;3;this._inputEnd;
24;0;2;19;4;this._inputPtr;
;2387;2388;2389;4;this._inputPtr;
25;0;2;3;4;this._inputPtr;
;2387;2388;2393;4;this._inputPtr;
26;0;;3;4;this._inputPtr;
;2387;;2393;4;this._inputPtr;
27;0;;3;5;this._inputBuffer;
;2387;;2393;5;this._inputBuffer;
28;0;8;10;6;ALLOW_NON_NUMERIC_NUMBERS;
;2387;2403;2404;7;ALLOW_NON_NUMERIC_NUMBERS;
29;0;8;9;6;ALLOW_NON_NUMERIC_NUMBERS;
;2387;2403;2406;7;ALLOW_NON_NUMERIC_NUMBERS;
30;3;3;15;1;ch;
;2393;2395;2396;1;ch;
31;3;3;4;1;ch;
;2393;2395;2397;1;ch;
32;3;4;5;1;ch;
;2393;2397;2398;1;ch;
33;3;4;1;1;ch;
;2393;2397;2408;1;ch;
34;3;;1;1;ch;
;2393;;2408;1;ch;
35;17;;8;7;match;
;2396;;2402;6;match;
36;17;;9;7;match;
;2396;;2406;6;match;
37;17;;12;7;match;
;2396;;2404;6;match;
38;7;;8;7;match;
;2398;;2402;6;match;
39;7;;9;7;match;
;2398;;2406;6;match;
40;7;;12;7;match;
;2398;;2404;6;match;
