Number of Variables;9;
Variables:;
0;;this;
1;;matchStr;
2;;i;
3;;this._inputEnd;
4;;this._inputPtr;
5;;this._inputBuffer;
6;;len;
7;;ch;
8;;c;

Number of Block duas;61;
Line Duas for method; _matchToken;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;2415;2418;2418;0;this;
2;2415;2418;2418;0;this;
3;2415;2418;2420;0;this;
4;2415;2418;2422;0;this;
5;2415;;2422;0;this;
6;2415;2426;2426;0;this;
7;2415;2426;2429;0;this;
8;2415;;2429;0;this;
9;2415;;2434;0;this;
10;2415;;2436;0;this;
11;2415;2426;2427;0;this;
12;2415;2426;2429;0;this;
13;2415;;2420;0;this;
14;2415;2418;2418;0;this;
15;2415;2418;2420;0;this;
16;2415;2418;2420;1;matchStr;
17;2415;2418;2422;1;matchStr;
18;2415;;2436;1;matchStr;
19;2415;;2420;1;matchStr;
20;2415;2418;2420;2;i;
21;2415;2418;2422;2;i;
22;2415;;2423;2;i;
23;2415;;2420;2;i;
24;2415;2418;2418;4;this._inputEnd;
25;2415;2418;2418;4;this._inputEnd;
26;2415;2426;2426;4;this._inputEnd;
27;2415;2426;2429;4;this._inputEnd;
28;2415;2418;2418;5;this._inputPtr;
29;2415;2418;2418;5;this._inputPtr;
30;2415;2418;2420;5;this._inputPtr;
31;2415;2418;2422;5;this._inputPtr;
32;2415;;2422;5;this._inputPtr;
33;2415;2418;2420;6;this._inputBuffer;
34;2415;2418;2422;6;this._inputBuffer;
35;2415;;2429;6;this._inputBuffer;
36;2415;2423;2426;3;len;
37;2415;2423;2418;3;len;
38;2422;2418;2418;5;this._inputPtr;
39;2422;2418;2418;5;this._inputPtr;
40;2422;2418;2420;5;this._inputPtr;
41;2422;2418;2422;5;this._inputPtr;
42;2422;;2422;5;this._inputPtr;
43;2422;2426;2426;5;this._inputPtr;
44;2422;2426;2429;5;this._inputPtr;
45;2422;;2429;5;this._inputPtr;
46;2423;2423;2426;2;i;
47;2423;2423;2418;2;i;
48;2423;2418;2420;2;i;
49;2423;2418;2422;2;i;
50;2423;;2423;2;i;
51;2423;;2420;2;i;
52;2423;;2436;2;i;
53;2429;2430;2430;7;ch;
54;2429;2430;2431;7;ch;
55;2429;2430;2430;7;ch;
56;2429;2430;2431;7;ch;
57;2429;2430;2431;7;ch;
58;2429;2430;2434;7;ch;
59;2429;;2434;7;ch;
60;2434;2435;2436;8;c;
61;2434;2435;2438;8;c;

Block Duas for method; _matchToken;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;1;15;0;this;
;2415;2418;2418;0;this;
2;0;1;2;0;this;
;2415;2418;2418;0;this;
3;0;2;14;0;this;
;2415;2418;2420;0;this;
4;0;2;3;0;this;
;2415;2418;2422;0;this;
5;0;;3;0;this;
;2415;;2422;0;this;
6;0;4;12;0;this;
;2415;2426;2426;0;this;
7;0;4;5;0;this;
;2415;2426;2429;0;this;
8;0;;5;0;this;
;2415;;2429;0;this;
9;0;;9;0;this;
;2415;;2434;0;this;
10;0;;11;0;this;
;2415;;2436;0;this;
11;0;12;13;0;this;
;2415;2426;2427;0;this;
12;0;12;5;0;this;
;2415;2426;2429;0;this;
13;0;;14;0;this;
;2415;;2420;0;this;
14;0;15;2;0;this;
;2415;2418;2418;0;this;
15;0;15;14;0;this;
;2415;2418;2420;0;this;
16;0;2;14;1;matchStr;
;2415;2418;2420;1;matchStr;
17;0;2;3;1;matchStr;
;2415;2418;2422;1;matchStr;
18;0;;11;1;matchStr;
;2415;;2436;1;matchStr;
19;0;;14;1;matchStr;
;2415;;2420;1;matchStr;
20;0;2;14;2;i;
;2415;2418;2420;2;i;
21;0;2;3;2;i;
;2415;2418;2422;2;i;
22;0;;3;2;i;
;2415;;2423;2;i;
23;0;;14;2;i;
;2415;;2420;2;i;
24;0;1;15;3;this._inputEnd;
;2415;2418;2418;4;this._inputEnd;
25;0;1;2;3;this._inputEnd;
;2415;2418;2418;4;this._inputEnd;
26;0;4;12;3;this._inputEnd;
;2415;2426;2426;4;this._inputEnd;
27;0;4;5;3;this._inputEnd;
;2415;2426;2429;4;this._inputEnd;
28;0;1;15;4;this._inputPtr;
;2415;2418;2418;5;this._inputPtr;
29;0;1;2;4;this._inputPtr;
;2415;2418;2418;5;this._inputPtr;
30;0;2;14;4;this._inputPtr;
;2415;2418;2420;5;this._inputPtr;
31;0;2;3;4;this._inputPtr;
;2415;2418;2422;5;this._inputPtr;
32;0;;3;4;this._inputPtr;
;2415;;2422;5;this._inputPtr;
33;0;2;14;5;this._inputBuffer;
;2415;2418;2420;6;this._inputBuffer;
34;0;2;3;5;this._inputBuffer;
;2415;2418;2422;6;this._inputBuffer;
35;0;;5;5;this._inputBuffer;
;2415;;2429;6;this._inputBuffer;
36;0;3;4;6;len;
;2415;2423;2426;3;len;
37;0;3;1;6;len;
;2415;2423;2418;3;len;
38;3;1;15;4;this._inputPtr;
;2422;2418;2418;5;this._inputPtr;
