Number of Variables;14;
Variables:;
0;;this;
1;;this._inputEnd;
2;;this._inputPtr;
3;;this._inputBuffer;
4;;this._quadBuffer;
5;;sInputCodesLatin1;
6;;this._symbols;
7;;ch;
8;;quads;
9;;qlen;
10;;currQuad;
11;;currQuadBytes;
12;;codes;
13;;name;

Number of Block duas;299;
Line Duas for method; _parseApostropheFieldName;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1789;1789;1790;0;this;
2;1789;1789;1794;0;this;
3;1789;;1794;0;this;
4;1789;;1794;0;this;
5;1789;;1798;0;this;
6;1789;1871;1872;0;this;
7;1789;1871;1876;0;this;
8;1789;;1876;0;this;
9;1789;;1876;0;this;
10;1789;1872;1873;0;this;
11;1789;1872;1876;0;this;
12;1789;;1873;0;this;
13;1789;;1865;0;this;
14;1789;;1819;0;this;
15;1789;;1846;0;this;
16;1789;;1830;0;this;
17;1789;;1816;0;this;
18;1789;;1885;0;this;
19;1789;;1887;0;this;
20;1789;;1881;0;this;
21;1789;1790;1791;0;this;
22;1789;1790;1794;0;this;
23;1789;;1791;0;this;
24;1789;1789;1790;1;this._inputEnd;
25;1789;1789;1794;1;this._inputEnd;
26;1789;1871;1872;1;this._inputEnd;
27;1789;1871;1876;1;this._inputEnd;
28;1789;1789;1790;2;this._inputPtr;
29;1789;1789;1794;2;this._inputPtr;
30;1789;;1794;2;this._inputPtr;
31;1789;;1794;4;this._inputBuffer;
32;1789;;1876;4;this._inputBuffer;
33;1789;;1798;6;this._quadBuffer;
34;1789;;1805;11;sInputCodesLatin1;
35;1789;;1885;13;this._symbols;
36;1794;1871;1872;2;this._inputPtr;
37;1794;1871;1876;2;this._inputPtr;
38;1794;;1876;2;this._inputPtr;
39;1794;1795;1796;3;ch;
40;1794;1795;1798;3;ch;
41;1794;1808;1809;3;ch;
42;1794;1808;1812;3;ch;
43;1794;1812;1812;3;ch;
44;1794;1812;1860;3;ch;
45;1794;;1868;3;ch;
46;1794;;1862;3;ch;
47;1794;1812;1813;3;ch;
48;1794;1812;1860;3;ch;
49;1794;1813;1816;3;ch;
50;1794;1813;1819;3;ch;
51;1794;;1816;3;ch;
52;1794;1826;1828;3;ch;
53;1794;1826;1860;3;ch;
54;1794;1836;1837;3;ch;
55;1794;1836;1841;3;ch;
56;1794;;1841;3;ch;
57;1794;;1852;3;ch;
58;1794;;1856;3;ch;
59;1794;;1837;3;ch;
60;1798;1864;1865;5;quads;
61;1798;1864;1867;5;quads;
62;1798;;1867;5;quads;
63;1798;;1865;5;quads;
64;1798;1845;1846;5;quads;
65;1798;1845;1848;5;quads;
66;1798;;1848;5;quads;
67;1798;;1846;5;quads;
68;1798;1829;1830;5;quads;
69;1798;1829;1832;5;quads;
70;1798;;1832;5;quads;
71;1798;;1830;5;quads;
72;1798;;1885;5;quads;
73;1798;;1887;5;quads;
74;1798;1880;1881;5;quads;
75;1798;1880;1883;5;quads;
76;1798;;1883;5;quads;
77;1798;;1881;5;quads;
78;1799;1864;1865;7;qlen;
79;1799;1864;1867;7;qlen;
80;1799;;1867;7;qlen;
81;1799;1845;1846;7;qlen;
82;1799;1845;1848;7;qlen;
83;1799;;1848;7;qlen;
84;1799;1829;1830;7;qlen;
85;1799;1829;1832;7;qlen;
86;1799;;1832;7;qlen;
87;1799;;1885;7;qlen;
88;1799;;1887;7;qlen;
89;1799;1880;1881;7;qlen;
90;1799;1880;1883;7;qlen;
91;1799;;1883;7;qlen;
92;1800;;1867;8;currQuad;
93;1800;;1862;8;currQuad;
94;1800;;1841;8;currQuad;
95;1800;;1837;8;currQuad;
96;1800;;1832;8;currQuad;
97;1800;;1883;8;currQuad;
98;1801;1860;1861;9;currQuadBytes;
99;1801;1860;1864;9;currQuadBytes;
100;1801;;1861;9;currQuadBytes;
101;1801;1828;1829;9;currQuadBytes;
102;1801;1828;1836;9;currQuadBytes;
103;1801;;1842;9;currQuadBytes;
104;1801;;1838;9;currQuadBytes;
105;1801;1879;1880;9;currQuadBytes;
106;1801;1879;1885;9;currQuadBytes;
107;1801;;1887;9;currQuadBytes;
108;1805;1812;1813;10;codes;
109;1805;1812;1860;10;codes;
110;1819;1826;1828;3;ch;
111;1819;1826;1860;3;ch;
112;1819;;1868;3;ch;
113;1819;;1862;3;ch;
114;1819;1836;1837;3;ch;
115;1819;1836;1841;3;ch;
116;1819;;1841;3;ch;
117;1819;;1852;3;ch;
118;1819;;1856;3;ch;
119;1819;;1837;3;ch;
120;1830;;1832;5;quads;
121;1830;1864;1865;5;quads;
122;1830;1864;1867;5;quads;
123;1830;;1867;5;quads;
124;1830;1829;1830;5;quads;
125;1830;1829;1832;5;quads;
126;1830;;1830;5;quads;
127;1830;;1885;5;quads;
128;1830;;1887;5;quads;
129;1830;1880;1881;5;quads;
130;1830;1880;1883;5;quads;
131;1830;;1883;5;quads;
132;1830;;1881;5;quads;
133;1830;;1865;5;quads;
134;1830;1845;1846;5;quads;
135;1830;1845;1848;5;quads;
136;1830;;1848;5;quads;
137;1830;;1846;5;quads;
138;1832;1864;1865;7;qlen;
139;1832;1864;1867;7;qlen;
140;1832;;1867;7;qlen;
141;1832;1829;1830;7;qlen;
142;1832;1829;1832;7;qlen;
143;1832;;1832;7;qlen;
144;1832;;1885;7;qlen;
145;1832;;1887;7;qlen;
146;1832;1880;1881;7;qlen;
147;1832;1880;1883;7;qlen;
148;1832;;1883;7;qlen;
149;1832;1845;1846;7;qlen;
150;1832;1845;1848;7;qlen;
