Number of Variables;5;
Variables:;
0;;this;
1;;this._bufferRecyclable;
2;;this._inputBuffer;
3;;this._ioContext;
4;;buf;

Number of Block duas;11;
Line Duas for method; _releaseBuffers;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;248;249;250;0;this;
2;248;249;256;0;this;
3;248;;250;0;this;
4;248;;252;0;this;
5;248;;253;0;this;
6;248;249;250;1;this._bufferRecyclable;
7;248;249;256;1;this._bufferRecyclable;
8;248;;250;3;this._inputBuffer;
9;248;;253;4;this._ioContext;
10;250;251;252;2;buf;
11;250;251;256;2;buf;
12;250;;253;2;buf;

Block Duas for method; _releaseBuffers;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;248;249;250;0;this;
2;0;0;1;0;this;
;248;249;256;0;this;
3;0;;2;0;this;
;248;;250;0;this;
4;0;;3;0;this;
;248;;252;0;this;
;248;;253;0;this;
5;0;0;2;1;this._bufferRecyclable;
;248;249;250;1;this._bufferRecyclable;
6;0;0;1;1;this._bufferRecyclable;
;248;249;256;1;this._bufferRecyclable;
7;0;;2;2;this._inputBuffer;
;248;;250;3;this._inputBuffer;
8;0;;3;3;this._ioContext;
;248;;253;4;this._ioContext;
9;2;2;3;4;buf;
;250;251;252;2;buf;
10;2;2;1;4;buf;
;250;251;256;2;buf;
11;2;;3;4;buf;
;250;;253;2;buf;
