Number of Variables;7;
Variables:;
0;;this;
1;;msg;
2;;this._inputEnd;
3;;this._inputPtr;
4;;this._inputBuffer;
5;;sb;
6;;c;

Number of Block duas;21;
Line Duas for method; _reportInvalidToken;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;2449;2456;2456;0;this;
2;2449;2456;2459;0;this;
3;2449;;2459;0;this;
4;2449;;2459;0;this;
5;2449;;2460;0;this;
6;2449;;2466;0;this;
7;2449;2456;2457;0;this;
8;2449;2456;2459;0;this;
9;2449;;2466;2;msg;
10;2449;2456;2456;4;this._inputEnd;
11;2449;2456;2459;4;this._inputEnd;
12;2449;2456;2456;5;this._inputPtr;
13;2449;2456;2459;5;this._inputPtr;
14;2449;;2459;5;this._inputPtr;
15;2449;;2459;7;this._inputBuffer;
16;2449;;2464;3;sb;
17;2449;;2466;3;sb;
18;2459;2456;2456;5;this._inputPtr;
19;2459;2456;2459;5;this._inputPtr;
20;2459;;2459;5;this._inputPtr;
21;2460;2461;2462;8;c;
22;2460;2461;2464;8;c;
23;2460;;2464;8;c;

Block Duas for method; _reportInvalidToken;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;1;6;0;this;
;2449;2456;2456;0;this;
2;0;1;2;0;this;
;2449;2456;2459;0;this;
3;0;;2;0;this;
;2449;;2459;0;this;
;2449;;2459;0;this;
;2449;;2460;0;this;
4;0;;5;0;this;
;2449;;2466;0;this;
5;0;6;7;0;this;
;2449;2456;2457;0;this;
6;0;6;2;0;this;
;2449;2456;2459;0;this;
7;0;;5;1;msg;
;2449;;2466;2;msg;
8;0;1;6;2;this._inputEnd;
;2449;2456;2456;4;this._inputEnd;
9;0;1;2;2;this._inputEnd;
;2449;2456;2459;4;this._inputEnd;
10;0;1;6;3;this._inputPtr;
;2449;2456;2456;5;this._inputPtr;
11;0;1;2;3;this._inputPtr;
;2449;2456;2459;5;this._inputPtr;
12;0;;2;3;this._inputPtr;
;2449;;2459;5;this._inputPtr;
13;0;;2;4;this._inputBuffer;
;2449;;2459;7;this._inputBuffer;
14;0;;3;5;sb;
;2449;;2464;3;sb;
15;0;;5;5;sb;
;2449;;2466;3;sb;
16;2;1;6;3;this._inputPtr;
;2459;2456;2456;5;this._inputPtr;
17;2;1;2;3;this._inputPtr;
;2459;2456;2459;5;this._inputPtr;
18;2;;2;3;this._inputPtr;
;2459;;2459;5;this._inputPtr;
19;2;2;4;6;c;
;2460;2461;2462;8;c;
20;2;2;3;6;c;
;2460;2461;2464;8;c;
21;2;;3;6;c;
;2460;;2464;8;c;
