Number of Variables;7;
Variables:;
0;;this;
1;;this._inputEnd;
2;;this._inputPtr;
3;;this._inputBuffer;
4;;codes;
5;;i;
6;;code;

Number of Block duas;51;
Line Duas for method; _skipCComment;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;2623;2627;2627;0;this;
2;2623;2627;2628;0;this;
3;2623;;2628;0;this;
4;2623;;2628;0;this;
5;2623;2633;2633;0;this;
6;2623;2633;2636;0;this;
7;2623;2636;2637;0;this;
8;2623;2636;2661;0;this;
9;2623;;2637;0;this;
10;2623;2633;2634;0;this;
11;2623;2633;2636;0;this;
12;2623;;2662;0;this;
13;2623;;2645;0;this;
14;2623;;2642;0;this;
15;2623;;2654;0;this;
16;2623;;2651;0;this;
17;2623;;2648;0;this;
18;2623;;2658;0;this;
19;2623;2627;2628;0;this;
20;2623;2627;2662;0;this;
21;2623;2627;2627;2;this._inputEnd;
22;2623;2627;2628;2;this._inputEnd;
23;2623;2633;2633;2;this._inputEnd;
24;2623;2633;2636;2;this._inputEnd;
25;2623;2627;2627;3;this._inputPtr;
26;2623;2627;2628;3;this._inputPtr;
27;2623;;2628;3;this._inputPtr;
28;2623;;2628;5;this._inputBuffer;
29;2623;2636;2637;5;this._inputBuffer;
30;2623;2636;2661;5;this._inputBuffer;
31;2623;;2629;1;codes;
32;2628;2627;2627;3;this._inputPtr;
33;2628;2627;2628;3;this._inputPtr;
34;2628;;2628;3;this._inputPtr;
35;2628;2633;2633;3;this._inputPtr;
36;2628;2633;2636;3;this._inputPtr;
37;2628;2636;2637;3;this._inputPtr;
38;2628;2636;2661;3;this._inputPtr;
39;2628;;2637;3;this._inputPtr;
40;2628;;2654;4;i;
41;2628;;2651;4;i;
42;2628;;2648;4;i;
43;2628;;2658;4;i;
44;2629;2630;2631;6;code;
45;2629;2630;2661;6;code;
46;2629;2631;2658;6;code;
47;2629;2631;2648;6;code;
48;2629;2631;2651;6;code;
49;2629;2631;2654;6;code;
50;2629;2631;2642;6;code;
51;2629;2631;2645;6;code;
52;2629;2631;2633;6;code;

Block Duas for method; _skipCComment;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;1;17;0;this;
;2623;2627;2627;0;this;
2;0;1;2;0;this;
;2623;2627;2628;0;this;
3;0;;2;0;this;
;2623;;2628;0;this;
;2623;;2628;0;this;
4;0;5;8;0;this;
;2623;2633;2633;0;this;
5;0;5;6;0;this;
;2623;2633;2636;0;this;
6;0;6;7;0;this;
;2623;2636;2637;0;this;
7;0;6;3;0;this;
;2623;2636;2661;0;this;
8;0;;7;0;this;
;2623;;2637;0;this;
9;0;8;9;0;this;
;2623;2633;2634;0;this;
10;0;8;6;0;this;
;2623;2633;2636;0;this;
11;0;;10;0;this;
;2623;;2662;0;this;
12;0;;11;0;this;
;2623;;2645;0;this;
13;0;;12;0;this;
;2623;;2642;0;this;
14;0;;13;0;this;
;2623;;2654;0;this;
15;0;;14;0;this;
;2623;;2651;0;this;
16;0;;15;0;this;
;2623;;2648;0;this;
17;0;;16;0;this;
;2623;;2658;0;this;
18;0;17;2;0;this;
;2623;2627;2628;0;this;
19;0;17;10;0;this;
;2623;2627;2662;0;this;
20;0;1;17;1;this._inputEnd;
;2623;2627;2627;2;this._inputEnd;
21;0;1;2;1;this._inputEnd;
;2623;2627;2628;2;this._inputEnd;
22;0;5;8;1;this._inputEnd;
;2623;2633;2633;2;this._inputEnd;
23;0;5;6;1;this._inputEnd;
;2623;2633;2636;2;this._inputEnd;
24;0;1;17;2;this._inputPtr;
;2623;2627;2627;3;this._inputPtr;
25;0;1;2;2;this._inputPtr;
;2623;2627;2628;3;this._inputPtr;
26;0;;2;2;this._inputPtr;
;2623;;2628;3;this._inputPtr;
27;0;;2;3;this._inputBuffer;
;2623;;2628;5;this._inputBuffer;
28;0;6;7;3;this._inputBuffer;
;2623;2636;2637;5;this._inputBuffer;
29;0;6;3;3;this._inputBuffer;
;2623;2636;2661;5;this._inputBuffer;
30;0;;2;4;codes;
;2623;;2629;1;codes;
31;2;1;17;2;this._inputPtr;
;2628;2627;2627;3;this._inputPtr;
32;2;1;2;2;this._inputPtr;
;2628;2627;2628;3;this._inputPtr;
33;2;;2;2;this._inputPtr;
;2628;;2628;3;this._inputPtr;
34;2;5;8;2;this._inputPtr;
;2628;2633;2633;3;this._inputPtr;
35;2;5;6;2;this._inputPtr;
;2628;2633;2636;3;this._inputPtr;
36;2;6;7;2;this._inputPtr;
;2628;2636;2637;3;this._inputPtr;
37;2;6;3;2;this._inputPtr;
;2628;2636;2661;3;this._inputPtr;
38;2;;7;2;this._inputPtr;
;2628;;2637;3;this._inputPtr;
39;2;;13;5;i;
;2628;;2654;4;i;
40;2;;14;5;i;
;2628;;2651;4;i;
41;2;;15;5;i;
;2628;;2648;4;i;
42;2;;16;5;i;
;2628;;2658;4;i;
43;2;2;4;6;code;
;2629;2630;2631;6;code;
44;2;2;3;6;code;
;2629;2630;2661;6;code;
45;2;4;16;6;code;
;2629;2631;2658;6;code;
46;2;4;15;6;code;
;2629;2631;2648;6;code;
47;2;4;14;6;code;
;2629;2631;2651;6;code;
48;2;4;13;6;code;
;2629;2631;2654;6;code;
49;2;4;12;6;code;
;2629;2631;2642;6;code;
50;2;4;11;6;code;
;2629;2631;2645;6;code;
51;2;4;5;6;code;
;2629;2631;2633;6;code;
