Number of Variables;7;
Variables:;
0;;this;
1;;this._inputEnd;
2;;this._inputPtr;
3;;this._inputBuffer;
4;;codes;
5;;i;
6;;code;

Number of Block duas;34;
Line Duas for method; _skipCppComment;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;2669;2670;2670;0;this;
2;2669;2670;2671;0;this;
3;2669;;2671;0;this;
4;2669;;2671;0;this;
5;2669;;2679;0;this;
6;2669;;2676;0;this;
7;2669;;2690;0;this;
8;2669;;2687;0;this;
9;2669;;2684;0;this;
10;2669;;2694;0;this;
11;2669;2670;2671;0;this;
12;2669;2670;2698;0;this;
13;2669;2670;2670;2;this._inputEnd;
14;2669;2670;2671;2;this._inputEnd;
15;2669;2670;2670;3;this._inputPtr;
16;2669;2670;2671;3;this._inputPtr;
17;2669;;2671;3;this._inputPtr;
18;2669;;2671;5;this._inputBuffer;
19;2669;;2672;1;codes;
20;2671;2670;2670;3;this._inputPtr;
21;2671;2670;2671;3;this._inputPtr;
22;2671;;2671;3;this._inputPtr;
23;2671;;2690;4;i;
24;2671;;2687;4;i;
25;2671;;2684;4;i;
26;2671;;2694;4;i;
27;2672;2673;2674;6;code;
28;2672;2673;2697;6;code;
29;2672;2674;2694;6;code;
30;2672;2674;2684;6;code;
31;2672;2674;2687;6;code;
32;2672;2674;2690;6;code;
33;2672;2674;2676;6;code;
34;2672;2674;2679;6;code;
35;2672;2674;2682;6;code;

Block Duas for method; _skipCppComment;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;1;12;0;this;
;2669;2670;2670;0;this;
2;0;1;2;0;this;
;2669;2670;2671;0;this;
3;0;;2;0;this;
;2669;;2671;0;this;
;2669;;2671;0;this;
4;0;;6;0;this;
;2669;;2679;0;this;
5;0;;7;0;this;
;2669;;2676;0;this;
6;0;;8;0;this;
;2669;;2690;0;this;
7;0;;9;0;this;
;2669;;2687;0;this;
8;0;;10;0;this;
;2669;;2684;0;this;
9;0;;11;0;this;
;2669;;2694;0;this;
10;0;12;2;0;this;
;2669;2670;2671;0;this;
11;0;12;13;0;this;
;2669;2670;2698;0;this;
12;0;1;12;1;this._inputEnd;
;2669;2670;2670;2;this._inputEnd;
13;0;1;2;1;this._inputEnd;
;2669;2670;2671;2;this._inputEnd;
14;0;1;12;2;this._inputPtr;
;2669;2670;2670;3;this._inputPtr;
15;0;1;2;2;this._inputPtr;
;2669;2670;2671;3;this._inputPtr;
16;0;;2;2;this._inputPtr;
;2669;;2671;3;this._inputPtr;
17;0;;2;3;this._inputBuffer;
;2669;;2671;5;this._inputBuffer;
18;0;;2;4;codes;
;2669;;2672;1;codes;
19;2;1;12;2;this._inputPtr;
;2671;2670;2670;3;this._inputPtr;
20;2;1;2;2;this._inputPtr;
;2671;2670;2671;3;this._inputPtr;
21;2;;2;2;this._inputPtr;
;2671;;2671;3;this._inputPtr;
22;2;;8;5;i;
;2671;;2690;4;i;
23;2;;9;5;i;
;2671;;2687;4;i;
24;2;;10;5;i;
;2671;;2684;4;i;
25;2;;11;5;i;
;2671;;2694;4;i;
26;2;2;4;6;code;
;2672;2673;2674;6;code;
27;2;2;3;6;code;
;2672;2673;2697;6;code;
28;2;4;11;6;code;
;2672;2674;2694;6;code;
29;2;4;10;6;code;
;2672;2674;2684;6;code;
30;2;4;9;6;code;
;2672;2674;2687;6;code;
31;2;4;8;6;code;
;2672;2674;2690;6;code;
32;2;4;7;6;code;
;2672;2674;2676;6;code;
33;2;4;6;6;code;
;2672;2674;2679;6;code;
34;2;4;5;6;code;
;2672;2674;2682;6;code;
