Number of Variables;6;
Variables:;
0;;this;
1;;this._inputEnd;
2;;this._inputPtr;
3;;this._inputBuffer;
4;;ALLOW_NUMERIC_LEADING_ZEROS;
5;;ch;

Number of Block duas;49;
Line Duas for method; _verifyNoLeadingZeroes;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1283;1283;1283;0;this;
2;1283;1283;1286;0;this;
3;1283;;1286;0;this;
4;1283;1292;1293;0;this;
5;1283;1292;1296;0;this;
6;1283;;1296;0;this;
7;1283;1298;1298;0;this;
8;1283;1298;1299;0;this;
9;1283;;1299;0;this;
10;1283;;1303;0;this;
11;1283;1298;1299;0;this;
12;1283;1298;1309;0;this;
13;1283;;1293;0;this;
14;1283;1283;1284;0;this;
15;1283;1283;1286;0;this;
16;1283;1283;1283;1;this._inputEnd;
17;1283;1283;1286;1;this._inputEnd;
18;1283;1298;1298;1;this._inputEnd;
19;1283;1298;1299;1;this._inputEnd;
20;1283;1283;1283;2;this._inputPtr;
21;1283;1283;1286;2;this._inputPtr;
22;1283;;1286;2;this._inputPtr;
23;1283;;1296;2;this._inputPtr;
24;1283;;1286;4;this._inputBuffer;
25;1283;;1299;4;this._inputBuffer;
26;1283;1292;1293;5;ALLOW_NUMERIC_LEADING_ZEROS;
27;1283;1292;1296;5;ALLOW_NUMERIC_LEADING_ZEROS;
28;1286;1288;1288;3;ch;
29;1286;1288;1289;3;ch;
30;1286;1288;1289;3;ch;
31;1286;1288;1292;3;ch;
32;1286;1297;1298;3;ch;
33;1286;1297;1309;3;ch;
34;1286;;1309;3;ch;
35;1296;1298;1298;2;this._inputPtr;
36;1296;1298;1299;2;this._inputPtr;
37;1296;;1299;2;this._inputPtr;
38;1296;;1303;2;this._inputPtr;
39;1299;1300;1300;3;ch;
40;1299;1300;1301;3;ch;
41;1299;1300;1301;3;ch;
42;1299;1300;1303;3;ch;
43;1299;1304;1305;3;ch;
44;1299;1304;1298;3;ch;
45;1299;;1309;3;ch;
46;1303;1298;1298;2;this._inputPtr;
47;1303;1298;1299;2;this._inputPtr;
48;1303;;1299;2;this._inputPtr;
49;1303;;1303;2;this._inputPtr;

Block Duas for method; _verifyNoLeadingZeroes;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;15;0;this;
;1283;1283;1283;0;this;
2;0;0;1;0;this;
;1283;1283;1286;0;this;
3;0;;1;0;this;
;1283;;1286;0;this;
4;0;4;14;0;this;
;1283;1292;1293;0;this;
5;0;4;5;0;this;
;1283;1292;1296;0;this;
6;0;;5;0;this;
;1283;;1296;0;this;
7;0;7;13;0;this;
;1283;1298;1298;0;this;
8;0;7;8;0;this;
;1283;1298;1299;0;this;
9;0;;8;0;this;
;1283;;1299;0;this;
10;0;;11;0;this;
;1283;;1303;0;this;
11;0;13;8;0;this;
;1283;1298;1299;0;this;
12;0;13;6;0;this;
;1283;1298;1309;0;this;
13;0;;14;0;this;
;1283;;1293;0;this;
14;0;15;16;0;this;
;1283;1283;1284;0;this;
15;0;15;1;0;this;
;1283;1283;1286;0;this;
16;0;0;15;1;this._inputEnd;
;1283;1283;1283;1;this._inputEnd;
17;0;0;1;1;this._inputEnd;
;1283;1283;1286;1;this._inputEnd;
18;0;7;13;1;this._inputEnd;
;1283;1298;1298;1;this._inputEnd;
19;0;7;8;1;this._inputEnd;
;1283;1298;1299;1;this._inputEnd;
20;0;0;15;2;this._inputPtr;
;1283;1283;1283;2;this._inputPtr;
21;0;0;1;2;this._inputPtr;
;1283;1283;1286;2;this._inputPtr;
22;0;;1;2;this._inputPtr;
;1283;;1286;2;this._inputPtr;
23;0;;5;2;this._inputPtr;
;1283;;1296;2;this._inputPtr;
24;0;;1;3;this._inputBuffer;
;1283;;1286;4;this._inputBuffer;
25;0;;8;3;this._inputBuffer;
;1283;;1299;4;this._inputBuffer;
26;0;4;14;4;ALLOW_NUMERIC_LEADING_ZEROS;
;1283;1292;1293;5;ALLOW_NUMERIC_LEADING_ZEROS;
27;0;4;5;4;ALLOW_NUMERIC_LEADING_ZEROS;
;1283;1292;1296;5;ALLOW_NUMERIC_LEADING_ZEROS;
28;1;1;3;5;ch;
;1286;1288;1288;3;ch;
29;1;1;2;5;ch;
;1286;1288;1289;3;ch;
30;1;3;2;5;ch;
;1286;1288;1289;3;ch;
31;1;3;4;5;ch;
;1286;1288;1292;3;ch;
32;1;5;7;5;ch;
;1286;1297;1298;3;ch;
33;1;5;6;5;ch;
;1286;1297;1309;3;ch;
34;1;;6;5;ch;
;1286;;1309;3;ch;
35;5;7;13;2;this._inputPtr;
;1296;1298;1298;2;this._inputPtr;
36;5;7;8;2;this._inputPtr;
;1296;1298;1299;2;this._inputPtr;
37;5;;8;2;this._inputPtr;
;1296;;1299;2;this._inputPtr;
38;5;;11;2;this._inputPtr;
;1296;;1303;2;this._inputPtr;
39;8;8;10;5;ch;
;1299;1300;1300;3;ch;
40;8;8;9;5;ch;
;1299;1300;1301;3;ch;
41;8;10;9;5;ch;
;1299;1300;1301;3;ch;
42;8;10;11;5;ch;
;1299;1300;1303;3;ch;
43;8;11;12;5;ch;
;1299;1304;1305;3;ch;
44;8;11;7;5;ch;
;1299;1304;1298;3;ch;
45;8;;6;5;ch;
;1299;;1309;3;ch;
46;11;7;13;2;this._inputPtr;
;1303;1298;1298;2;this._inputPtr;
47;11;7;8;2;this._inputPtr;
;1303;1298;1299;2;this._inputPtr;
48;11;;8;2;this._inputPtr;
;1303;;1299;2;this._inputPtr;
49;11;;11;2;this._inputPtr;
;1303;;1303;2;this._inputPtr;
