Number of Variables;15;
Variables:;
0;;this;
1;;quads;
2;;qlen;
3;;lastQuadBytes;
4;;this._textBuffer;
5;;this._symbols;
6;;byteLen;
7;;lastQuad;
8;;cbuf;
9;;cix;
10;;ix;
11;;ch;
12;;needed;
13;;ch2;
14;;baseName;

Number of Block duas;164;
Line Duas for method; addName;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1953;;1971;0;this;
2;1953;;2051;0;this;
3;1953;;2040;0;this;
4;1953;;1992;0;this;
5;1953;;2033;0;this;
6;1953;;2025;0;this;
7;1953;;2016;0;this;
8;1953;;2006;0;this;
9;1953;;1996;0;this;
10;1953;;2051;1;quads;
11;1953;;2049;1;quads;
12;1953;;1975;1;quads;
13;1953;;2000;1;quads;
14;1953;;2010;1;quads;
15;1953;;2020;1;quads;
16;1953;;1963;1;quads;
17;1953;;1965;1;quads;
18;1953;;2051;2;qlen;
19;1953;;2049;2;qlen;
20;1953;;1963;2;qlen;
21;1953;;1965;2;qlen;
22;1953;1962;1963;3;lastQuadBytes;
23;1953;1962;1967;3;lastQuadBytes;
24;1953;2048;2049;3;lastQuadBytes;
25;1953;2048;2051;3;lastQuadBytes;
26;1953;;1965;3;lastQuadBytes;
27;1953;;1971;7;this._textBuffer;
28;1953;;2040;7;this._textBuffer;
29;1953;;2033;7;this._textBuffer;
30;1953;;2051;14;this._symbols;
31;1953;1974;1975;4;byteLen;
32;1953;1974;2046;4;byteLen;
33;1953;1995;1996;4;byteLen;
34;1953;1995;2000;4;byteLen;
35;1963;;2049;5;lastQuad;
36;1967;;2049;5;lastQuad;
37;1971;;2046;6;cbuf;
38;1971;2039;2040;6;cbuf;
39;1971;2039;2042;6;cbuf;
40;1971;;2042;6;cbuf;
41;1971;2032;2033;6;cbuf;
42;1971;2032;2035;6;cbuf;
43;1971;;2035;6;cbuf;
44;1972;;2046;8;cix;
45;1972;2039;2040;8;cix;
46;1972;2039;2042;8;cix;
47;1972;;2042;8;cix;
48;1972;2032;2033;8;cix;
49;1972;2032;2035;8;cix;
50;1972;;2035;8;cix;
51;1974;1974;1975;9;ix;
52;1974;1974;2046;9;ix;
53;1974;;1975;9;ix;
54;1974;;1976;9;ix;
55;1974;;1978;9;ix;
56;1977;1980;1982;10;ch;
57;1977;1980;2039;10;ch;
58;1977;;2042;10;ch;
59;1977;1982;1983;10;ch;
60;1977;1982;1985;10;ch;
61;1977;1985;1986;10;ch;
62;1977;1985;1988;10;ch;
63;1977;1988;1989;10;ch;
64;1977;1988;1992;10;ch;
65;1977;;1992;10;ch;
66;1977;;1989;10;ch;
67;1977;;1986;10;ch;
68;1977;;1983;10;ch;
69;1978;1974;1975;9;ix;
70;1978;1974;2046;9;ix;
71;1978;;1975;9;ix;
72;1978;;1976;9;ix;
73;1978;;1978;9;ix;
74;1978;1995;1996;9;ix;
75;1978;1995;2000;9;ix;
76;1978;;2000;9;ix;
77;1978;;2001;9;ix;
78;1978;;2003;9;ix;
79;1983;;2008;10;ch;
80;1984;1995;1996;12;needed;
81;1984;1995;2000;12;needed;
82;1984;2009;2010;12;needed;
83;1984;2009;2030;12;needed;
84;1984;2030;2031;12;needed;
85;1984;2030;2039;12;needed;
86;1984;2019;2020;12;needed;
87;1984;2019;2030;12;needed;
88;1986;;2008;10;ch;
89;1987;1995;1996;12;needed;
90;1987;1995;2000;12;needed;
91;1987;2009;2010;12;needed;
92;1987;2009;2030;12;needed;
93;1987;2030;2031;12;needed;
94;1987;2030;2039;12;needed;
95;1987;2019;2020;12;needed;
96;1987;2019;2030;12;needed;
97;1989;;2008;10;ch;
98;1990;1995;1996;12;needed;
99;1990;1995;2000;12;needed;
100;1990;2009;2010;12;needed;
101;1990;2009;2030;12;needed;
102;1990;2030;2031;12;needed;
103;1990;2030;2039;12;needed;
104;1990;2019;2020;12;needed;
105;1990;2019;2030;12;needed;
106;1993;;2008;10;ch;
107;1993;1995;1996;12;needed;
108;1993;1995;2000;12;needed;
109;1993;2009;2010;12;needed;
110;1993;2009;2030;12;needed;
111;1993;2030;2031;12;needed;
112;1993;2030;2039;12;needed;
113;1993;2019;2020;12;needed;
114;1993;2019;2030;12;needed;
115;2002;2005;2006;13;ch2;
116;2002;2005;2008;13;ch2;
117;2002;;2008;13;ch2;
118;2002;;2006;13;ch2;
119;2003;1974;1975;9;ix;
120;2003;1974;2046;9;ix;
121;2003;;1975;9;ix;
122;2003;;1976;9;ix;
123;2003;;1978;9;ix;
124;2003;;2010;9;ix;
125;2003;;2011;9;ix;
126;2003;;2013;9;ix;
127;2008;;2042;10;ch;
128;2008;;2031;10;ch;
129;2008;;2018;10;ch;
130;2012;2015;2016;13;ch2;
131;2012;2015;2018;13;ch2;
132;2012;;2018;13;ch2;
133;2012;;2016;13;ch2;
134;2013;1974;1975;9;ix;
135;2013;1974;2046;9;ix;
136;2013;;1975;9;ix;
137;2013;;1976;9;ix;
138;2013;;1978;9;ix;
139;2013;;2020;9;ix;
140;2013;;2021;9;ix;
141;2013;;2023;9;ix;
142;2018;;2042;10;ch;
143;2018;;2031;10;ch;
144;2018;;2027;10;ch;
145;2022;2024;2025;13;ch2;
146;2022;2024;2027;13;ch2;
147;2022;;2027;13;ch2;
148;2022;;2025;13;ch2;
149;2023;1974;1975;9;ix;
150;2023;1974;2046;9;ix;
151;2023;;1975;9;ix;
152;2023;;1976;9;ix;
153;2023;;1978;9;ix;
154;2027;;2042;10;ch;
155;2027;;2031;10;ch;
156;2031;;2035;10;ch;
157;2031;;2036;10;ch;
158;2033;;2035;6;cbuf;
159;2033;2039;2040;6;cbuf;
160;2033;2039;2042;6;cbuf;
161;2033;;2042;6;cbuf;
162;2033;;2046;6;cbuf;
163;2033;2032;2033;6;cbuf;
