Number of Variables;7;
Variables:;
0;;this;
1;;b64variant;
2;;VALUE_STRING;
3;;this._currToken;
4;;VALUE_EMBEDDED_OBJECT;
5;;this._binaryValue;
6;;this._tokenIncomplete;

Number of Block duas;34;
Line Duas for method; getBinaryValue;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;418;418;418;0;this;
2;418;418;425;0;this;
3;418;425;427;0;this;
4;418;425;436;0;this;
5;418;436;438;0;this;
6;418;436;443;0;this;
7;418;;443;0;this;
8;418;;438;0;this;
9;418;;439;0;this;
10;418;;440;0;this;
11;418;;427;0;this;
12;418;;434;0;this;
13;418;418;418;0;this;
14;418;418;420;0;this;
15;418;;420;0;this;
16;418;418;420;0;this;
17;418;418;425;0;this;
18;418;;439;1;b64variant;
19;418;;427;1;b64variant;
20;418;418;418;2;VALUE_STRING;
21;418;418;425;2;VALUE_STRING;
22;418;418;418;3;this._currToken;
23;418;418;425;3;this._currToken;
24;418;418;418;3;this._currToken;
25;418;418;420;3;this._currToken;
26;418;;420;3;this._currToken;
27;418;418;418;4;VALUE_EMBEDDED_OBJECT;
28;418;418;420;4;VALUE_EMBEDDED_OBJECT;
29;418;436;438;5;this._binaryValue;
30;418;436;443;5;this._binaryValue;
31;418;;443;5;this._binaryValue;
32;418;418;420;5;this._binaryValue;
33;418;418;425;5;this._binaryValue;
34;418;425;427;6;this._tokenIncomplete;
35;418;425;436;6;this._tokenIncomplete;
36;427;;443;5;this._binaryValue;
37;440;;443;5;this._binaryValue;

Block Duas for method; getBinaryValue;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;6;0;this;
;418;418;418;0;this;
2;0;0;1;0;this;
;418;418;425;0;this;
3;0;1;5;0;this;
;418;425;427;0;this;
4;0;1;2;0;this;
;418;425;436;0;this;
5;0;2;4;0;this;
;418;436;438;0;this;
6;0;2;3;0;this;
;418;436;443;0;this;
7;0;;3;0;this;
;418;;443;0;this;
8;0;;4;0;this;
;418;;438;0;this;
;418;;439;0;this;
;418;;440;0;this;
9;0;;5;0;this;
;418;;427;0;this;
;418;;434;0;this;
10;0;6;8;0;this;
;418;418;418;0;this;
11;0;6;7;0;this;
;418;418;420;0;this;
12;0;;7;0;this;
;418;;420;0;this;
13;0;8;7;0;this;
;418;418;420;0;this;
14;0;8;1;0;this;
;418;418;425;0;this;
15;0;;4;1;b64variant;
;418;;439;1;b64variant;
16;0;;5;1;b64variant;
;418;;427;1;b64variant;
17;0;0;6;2;VALUE_STRING;
;418;418;418;2;VALUE_STRING;
18;0;0;1;2;VALUE_STRING;
;418;418;425;2;VALUE_STRING;
19;0;0;6;3;this._currToken;
;418;418;418;3;this._currToken;
20;0;0;1;3;this._currToken;
;418;418;425;3;this._currToken;
21;0;6;8;3;this._currToken;
;418;418;418;3;this._currToken;
22;0;6;7;3;this._currToken;
;418;418;420;3;this._currToken;
23;0;;7;3;this._currToken;
;418;;420;3;this._currToken;
24;0;6;8;4;VALUE_EMBEDDED_OBJECT;
;418;418;418;4;VALUE_EMBEDDED_OBJECT;
25;0;6;7;4;VALUE_EMBEDDED_OBJECT;
;418;418;420;4;VALUE_EMBEDDED_OBJECT;
26;0;2;4;5;this._binaryValue;
;418;436;438;5;this._binaryValue;
27;0;2;3;5;this._binaryValue;
;418;436;443;5;this._binaryValue;
28;0;;3;5;this._binaryValue;
;418;;443;5;this._binaryValue;
29;0;8;7;5;this._binaryValue;
;418;418;420;5;this._binaryValue;
30;0;8;1;5;this._binaryValue;
;418;418;425;5;this._binaryValue;
31;0;1;5;6;this._tokenIncomplete;
;418;425;427;6;this._tokenIncomplete;
32;0;1;2;6;this._tokenIncomplete;
;418;425;436;6;this._tokenIncomplete;
33;5;;3;5;this._binaryValue;
;427;;443;5;this._binaryValue;
34;4;;3;5;this._binaryValue;
;440;;443;5;this._binaryValue;
