Number of Variables;5;
Variables:;
0;;this;
1;;VALUE_STRING;
2;;this._currToken;
3;;this._tokenIncomplete;
4;;this._textBuffer;

Number of Block duas;15;
Line Duas for method; getText;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;268;268;269;0;this;
2;268;268;275;0;this;
3;268;;275;0;this;
4;268;269;270;0;this;
5;268;269;273;0;this;
6;268;;273;0;this;
7;268;;270;0;this;
8;268;;271;0;this;
9;268;268;269;1;VALUE_STRING;
10;268;268;275;1;VALUE_STRING;
11;268;268;269;2;this._currToken;
12;268;268;275;2;this._currToken;
13;268;;275;2;this._currToken;
14;268;269;270;3;this._tokenIncomplete;
15;268;269;273;3;this._tokenIncomplete;
16;268;;273;4;this._textBuffer;

Block Duas for method; getText;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;268;268;269;0;this;
2;0;0;1;0;this;
;268;268;275;0;this;
3;0;;1;0;this;
;268;;275;0;this;
4;0;2;4;0;this;
;268;269;270;0;this;
5;0;2;3;0;this;
;268;269;273;0;this;
6;0;;3;0;this;
;268;;273;0;this;
7;0;;4;0;this;
;268;;270;0;this;
;268;;271;0;this;
8;0;0;2;1;VALUE_STRING;
;268;268;269;1;VALUE_STRING;
9;0;0;1;1;VALUE_STRING;
;268;268;275;1;VALUE_STRING;
10;0;0;2;2;this._currToken;
;268;268;269;2;this._currToken;
11;0;0;1;2;this._currToken;
;268;268;275;2;this._currToken;
12;0;;1;2;this._currToken;
;268;;275;2;this._currToken;
13;0;2;4;3;this._tokenIncomplete;
;268;269;270;3;this._tokenIncomplete;
14;0;2;3;3;this._tokenIncomplete;
;268;269;273;3;this._tokenIncomplete;
15;0;;3;4;this._textBuffer;
;268;;273;4;this._textBuffer;
