Number of Variables;6;
Variables:;
0;;this;
1;;this._currToken;
2;;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
3;;this._parsingContext;
4;;this._tokenIncomplete;
5;;this._textBuffer;

Number of Block duas;27;
Line Duas for method; getTextLength;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;369;369;370;0;this;
2;369;369;388;0;this;
3;369;370;385;0;this;
4;369;370;373;0;this;
5;369;370;375;0;this;
6;369;370;382;0;this;
7;369;;382;0;this;
8;369;375;376;0;this;
9;369;375;382;0;this;
10;369;;376;0;this;
11;369;;377;0;this;
12;369;;373;0;this;
13;369;;385;0;this;
14;369;369;370;1;this._currToken;
15;369;369;388;1;this._currToken;
16;369;370;385;1;this._currToken;
17;369;370;373;1;this._currToken;
18;369;370;375;1;this._currToken;
19;369;370;382;1;this._currToken;
20;369;;385;1;this._currToken;
21;369;370;385;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
22;369;370;373;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
23;369;370;375;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
24;369;370;382;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
25;369;;373;3;this._parsingContext;
26;369;375;376;4;this._tokenIncomplete;
27;369;375;382;4;this._tokenIncomplete;
28;369;;382;5;this._textBuffer;

Block Duas for method; getTextLength;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;369;369;370;0;this;
2;0;0;1;0;this;
;369;369;388;0;this;
3;0;2;7;0;this;
;369;370;385;0;this;
4;0;2;6;0;this;
;369;370;373;0;this;
5;0;2;4;0;this;
;369;370;375;0;this;
6;0;2;3;0;this;
;369;370;382;0;this;
7;0;;3;0;this;
;369;;382;0;this;
8;0;4;5;0;this;
;369;375;376;0;this;
9;0;4;3;0;this;
;369;375;382;0;this;
10;0;;5;0;this;
;369;;376;0;this;
;369;;377;0;this;
11;0;;6;0;this;
;369;;373;0;this;
12;0;;7;0;this;
;369;;385;0;this;
13;0;0;2;1;this._currToken;
;369;369;370;1;this._currToken;
14;0;0;1;1;this._currToken;
;369;369;388;1;this._currToken;
15;0;2;7;1;this._currToken;
;369;370;385;1;this._currToken;
16;0;2;6;1;this._currToken;
;369;370;373;1;this._currToken;
17;0;2;4;1;this._currToken;
;369;370;375;1;this._currToken;
18;0;2;3;1;this._currToken;
;369;370;382;1;this._currToken;
19;0;;7;1;this._currToken;
;369;;385;1;this._currToken;
20;0;2;7;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;369;370;385;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
21;0;2;6;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;369;370;373;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
22;0;2;4;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;369;370;375;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
23;0;2;3;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;369;370;382;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
24;0;;6;3;this._parsingContext;
;369;;373;3;this._parsingContext;
25;0;4;5;4;this._tokenIncomplete;
;369;375;376;4;this._tokenIncomplete;
26;0;4;3;4;this._tokenIncomplete;
;369;375;382;4;this._tokenIncomplete;
27;0;;3;5;this._textBuffer;
;369;;382;5;this._textBuffer;
