Number of Variables;5;
Variables:;
0;;this;
1;;this._currToken;
2;;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
3;;this._tokenIncomplete;
4;;this._textBuffer;

Number of Block duas;23;
Line Duas for method; getTextOffset;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;395;395;396;0;this;
2;395;395;411;0;this;
3;395;396;411;0;this;
4;395;396;398;0;this;
5;395;396;400;0;this;
6;395;396;407;0;this;
7;395;;407;0;this;
8;395;400;401;0;this;
9;395;400;407;0;this;
10;395;;401;0;this;
11;395;;402;0;this;
12;395;395;396;1;this._currToken;
13;395;395;411;1;this._currToken;
14;395;396;411;1;this._currToken;
15;395;396;398;1;this._currToken;
16;395;396;400;1;this._currToken;
17;395;396;407;1;this._currToken;
18;395;396;411;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
19;395;396;398;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
20;395;396;400;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
21;395;396;407;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
22;395;400;401;3;this._tokenIncomplete;
23;395;400;407;3;this._tokenIncomplete;
24;395;;407;4;this._textBuffer;

Block Duas for method; getTextOffset;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;395;395;396;0;this;
2;0;0;1;0;this;
;395;395;411;0;this;
3;0;2;1;0;this;
;395;396;411;0;this;
4;0;2;6;0;this;
;395;396;398;0;this;
5;0;2;4;0;this;
;395;396;400;0;this;
6;0;2;3;0;this;
;395;396;407;0;this;
7;0;;3;0;this;
;395;;407;0;this;
8;0;4;5;0;this;
;395;400;401;0;this;
9;0;4;3;0;this;
;395;400;407;0;this;
10;0;;5;0;this;
;395;;401;0;this;
;395;;402;0;this;
11;0;0;2;1;this._currToken;
;395;395;396;1;this._currToken;
12;0;0;1;1;this._currToken;
;395;395;411;1;this._currToken;
13;0;2;1;1;this._currToken;
;395;396;411;1;this._currToken;
14;0;2;6;1;this._currToken;
;395;396;398;1;this._currToken;
15;0;2;4;1;this._currToken;
;395;396;400;1;this._currToken;
16;0;2;3;1;this._currToken;
;395;396;407;1;this._currToken;
17;0;2;1;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;395;396;411;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
18;0;2;6;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;395;396;398;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
19;0;2;4;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;395;396;400;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
20;0;2;3;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;395;396;407;2;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
21;0;4;5;3;this._tokenIncomplete;
;395;400;401;3;this._tokenIncomplete;
22;0;4;3;3;this._tokenIncomplete;
;395;400;407;3;this._tokenIncomplete;
23;0;;3;4;this._textBuffer;
;395;;407;4;this._textBuffer;
