Number of Variables;6;
Variables:;
0;;this;
1;;defValue;
2;;VALUE_STRING;
3;;this._currToken;
4;;this._tokenIncomplete;
5;;this._textBuffer;

Number of Block duas;15;
Line Duas for method; getValueAsString;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;298;298;299;0;this;
2;298;298;305;0;this;
3;298;;305;0;this;
4;298;299;300;0;this;
5;298;299;303;0;this;
6;298;;303;0;this;
7;298;;300;0;this;
8;298;;301;0;this;
9;298;;305;1;defValue;
10;298;298;299;2;VALUE_STRING;
11;298;298;305;2;VALUE_STRING;
12;298;298;299;3;this._currToken;
13;298;298;305;3;this._currToken;
14;298;299;300;4;this._tokenIncomplete;
15;298;299;303;4;this._tokenIncomplete;
16;298;;303;5;this._textBuffer;

Block Duas for method; getValueAsString;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;298;298;299;0;this;
2;0;0;1;0;this;
;298;298;305;0;this;
3;0;;1;0;this;
;298;;305;0;this;
4;0;2;4;0;this;
;298;299;300;0;this;
5;0;2;3;0;this;
;298;299;303;0;this;
6;0;;3;0;this;
;298;;303;0;this;
7;0;;4;0;this;
;298;;300;0;this;
;298;;301;0;this;
8;0;;1;1;defValue;
;298;;305;1;defValue;
9;0;0;2;2;VALUE_STRING;
;298;298;299;2;VALUE_STRING;
10;0;0;1;2;VALUE_STRING;
;298;298;305;2;VALUE_STRING;
11;0;0;2;3;this._currToken;
;298;298;299;3;this._currToken;
12;0;0;1;3;this._currToken;
;298;298;305;3;this._currToken;
13;0;2;4;4;this._tokenIncomplete;
;298;299;300;4;this._tokenIncomplete;
14;0;2;3;4;this._tokenIncomplete;
;298;299;303;4;this._tokenIncomplete;
15;0;;3;5;this._textBuffer;
;298;;303;5;this._textBuffer;
