Number of Variables;2;
Variables:;
0;;arr;
1;;more;

Number of Block duas;5;
Line Duas for method; growArrayBy;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;3033;3033;3034;0;arr;
2;3033;3033;3036;0;arr;
3;3033;;3036;0;arr;
4;3033;;3036;1;more;
5;3033;;3034;1;more;

Block Duas for method; growArrayBy;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;arr;
;3033;3033;3034;0;arr;
2;0;0;1;0;arr;
;3033;3033;3036;0;arr;
3;0;;1;0;arr;
;3033;;3036;0;arr;
4;0;;1;1;more;
;3033;;3036;1;more;
5;0;;2;1;more;
;3033;;3034;1;more;
