Number of Variables;4;
Variables:;
0;;this;
1;;this._inputStream;
2;;this._inputBuffer;
3;;count;

Number of Block duas;16;
Line Duas for method; loadMore;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;166;169;170;0;this;
2;166;169;183;0;this;
3;166;;170;0;this;
4;166;;177;0;this;
5;166;;180;0;this;
6;166;;172;0;this;
7;166;;173;0;this;
8;166;169;170;4;this._inputStream;
9;166;169;183;4;this._inputStream;
10;166;;170;4;this._inputStream;
11;166;;170;6;this._inputBuffer;
12;166;;180;6;this._inputBuffer;
13;170;171;172;5;count;
14;170;171;177;5;count;
15;170;179;180;5;count;
16;170;179;183;5;count;
17;170;;173;5;count;

Block Duas for method; loadMore;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;166;169;170;0;this;
2;0;0;1;0;this;
;166;169;183;0;this;
3;0;;2;0;this;
;166;;170;0;this;
4;0;;3;0;this;
;166;;177;0;this;
5;0;;4;0;this;
;166;;180;0;this;
6;0;;5;0;this;
;166;;172;0;this;
;166;;173;0;this;
7;0;0;2;1;this._inputStream;
;166;169;170;4;this._inputStream;
8;0;0;1;1;this._inputStream;
;166;169;183;4;this._inputStream;
9;0;;2;1;this._inputStream;
;166;;170;4;this._inputStream;
10;0;;2;2;this._inputBuffer;
;166;;170;6;this._inputBuffer;
11;0;;4;2;this._inputBuffer;
;166;;180;6;this._inputBuffer;
12;2;2;5;3;count;
;170;171;172;5;count;
13;2;2;3;3;count;
;170;171;177;5;count;
14;2;3;4;3;count;
;170;179;180;5;count;
15;2;3;1;3;count;
;170;179;183;5;count;
16;2;;5;3;count;
;170;;173;5;count;
