Number of Variables;15;
Variables:;
0;;this;
1;;FIELD_NAME;
2;;this._currToken;
3;;this._nextToken;
4;;VALUE_TRUE;
5;;TRUE;
6;;VALUE_FALSE;
7;;FALSE;
8;;START_ARRAY;
9;;this._parsingContext;
10;;this._tokenInputRow;
11;;this._tokenInputCol;
12;;START_OBJECT;
13;;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
14;;t;

Number of Block duas;42;
Line Duas for method; nextBooleanValue;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1125;1125;1126;0;this;
2;1125;1125;1143;0;this;
3;1125;1143;1149;0;this;
4;1125;1143;1145;0;this;
5;1125;1143;1147;0;this;
6;1125;;1126;0;this;
7;1125;;1127;0;this;
8;1125;;1128;0;this;
9;1125;;1129;0;this;
10;1125;;1139;0;this;
11;1125;;1137;0;this;
12;1125;1125;1126;1;FIELD_NAME;
13;1125;1125;1143;1;FIELD_NAME;
14;1125;1125;1126;2;this._currToken;
15;1125;1125;1143;2;this._currToken;
16;1125;;1127;5;this._nextToken;
17;1125;1130;1131;6;VALUE_TRUE;
18;1125;1130;1133;6;VALUE_TRUE;
19;1125;;1145;7;TRUE;
20;1125;;1131;7;TRUE;
21;1125;1133;1134;8;VALUE_FALSE;
22;1125;1133;1136;8;VALUE_FALSE;
23;1125;;1147;9;FALSE;
24;1125;;1134;9;FALSE;
25;1125;1136;1137;10;START_ARRAY;
26;1125;1136;1138;10;START_ARRAY;
27;1125;;1139;11;this._parsingContext;
28;1125;;1137;11;this._parsingContext;
29;1125;;1139;12;this._tokenInputRow;
30;1125;;1137;12;this._tokenInputRow;
31;1125;;1139;13;this._tokenInputCol;
32;1125;;1137;13;this._tokenInputCol;
33;1125;1138;1139;14;START_OBJECT;
34;1125;1138;1141;14;START_OBJECT;
35;1125;1143;1149;15;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
36;1125;1143;1145;15;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
37;1125;1143;1147;15;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
38;1127;1130;1131;4;t;
39;1127;1130;1133;4;t;
40;1127;1133;1134;4;t;
41;1127;1133;1136;4;t;
42;1127;1136;1137;4;t;
43;1127;1136;1138;4;t;
44;1127;1138;1139;4;t;
45;1127;1138;1141;4;t;

Block Duas for method; nextBooleanValue;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;5;0;this;
;1125;1125;1126;0;this;
2;0;0;1;0;this;
;1125;1125;1143;0;this;
3;0;1;4;0;this;
;1125;1143;1149;0;this;
4;0;1;3;0;this;
;1125;1143;1145;0;this;
5;0;1;2;0;this;
;1125;1143;1147;0;this;
6;0;;5;0;this;
;1125;;1126;0;this;
;1125;;1127;0;this;
;1125;;1128;0;this;
;1125;;1129;0;this;
7;0;;10;0;this;
;1125;;1139;0;this;
8;0;;11;0;this;
;1125;;1137;0;this;
9;0;0;5;1;FIELD_NAME;
;1125;1125;1126;1;FIELD_NAME;
10;0;0;1;1;FIELD_NAME;
;1125;1125;1143;1;FIELD_NAME;
11;0;0;5;2;this._currToken;
;1125;1125;1126;2;this._currToken;
12;0;0;1;2;this._currToken;
;1125;1125;1143;2;this._currToken;
13;0;;5;3;this._nextToken;
;1125;;1127;5;this._nextToken;
14;0;5;13;4;VALUE_TRUE;
;1125;1130;1131;6;VALUE_TRUE;
15;0;5;6;4;VALUE_TRUE;
;1125;1130;1133;6;VALUE_TRUE;
16;0;;3;5;TRUE;
;1125;;1145;7;TRUE;
17;0;;13;5;TRUE;
;1125;;1131;7;TRUE;
18;0;6;12;6;VALUE_FALSE;
;1125;1133;1134;8;VALUE_FALSE;
19;0;6;7;6;VALUE_FALSE;
;1125;1133;1136;8;VALUE_FALSE;
20;0;;2;7;FALSE;
;1125;;1147;9;FALSE;
21;0;;12;7;FALSE;
;1125;;1134;9;FALSE;
22;0;7;11;8;START_ARRAY;
;1125;1136;1137;10;START_ARRAY;
23;0;7;8;8;START_ARRAY;
;1125;1136;1138;10;START_ARRAY;
24;0;;10;9;this._parsingContext;
;1125;;1139;11;this._parsingContext;
25;0;;11;9;this._parsingContext;
;1125;;1137;11;this._parsingContext;
26;0;;10;10;this._tokenInputRow;
;1125;;1139;12;this._tokenInputRow;
27;0;;11;10;this._tokenInputRow;
;1125;;1137;12;this._tokenInputRow;
28;0;;10;11;this._tokenInputCol;
;1125;;1139;13;this._tokenInputCol;
29;0;;11;11;this._tokenInputCol;
;1125;;1137;13;this._tokenInputCol;
30;0;8;10;12;START_OBJECT;
;1125;1138;1139;14;START_OBJECT;
31;0;8;9;12;START_OBJECT;
;1125;1138;1141;14;START_OBJECT;
32;0;1;4;13;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;1125;1143;1149;15;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
33;0;1;3;13;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;1125;1143;1145;15;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
34;0;1;2;13;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
;1125;1143;1147;15;$SwitchMap$com$fasterxml$jackson$core$JsonToken;
35;5;5;13;14;t;
;1127;1130;1131;4;t;
36;5;5;6;14;t;
;1127;1130;1133;4;t;
37;5;6;12;14;t;
;1127;1133;1134;4;t;
38;5;6;7;14;t;
;1127;1133;1136;4;t;
39;5;7;11;14;t;
;1127;1136;1137;4;t;
40;5;7;8;14;t;
;1127;1136;1138;4;t;
41;5;8;10;14;t;
;1127;1138;1139;4;t;
42;5;8;9;14;t;
;1127;1138;1141;4;t;
