Number of Variables;4;
Variables:;
0;;this;
1;;this._inputEnd;
2;;this._inputPtr;
3;;this._inputBuffer;

Number of Block duas;10;
Line Duas for method; nextByte;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;2990;2990;2991;0;this;
2;2990;2990;2993;0;this;
3;2990;;2993;0;this;
4;2990;;2993;0;this;
5;2990;;2991;0;this;
6;2990;2990;2991;1;this._inputEnd;
7;2990;2990;2993;1;this._inputEnd;
8;2990;2990;2991;2;this._inputPtr;
9;2990;2990;2993;2;this._inputPtr;
10;2990;;2993;2;this._inputPtr;
11;2990;;2993;3;this._inputBuffer;

Block Duas for method; nextByte;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;2990;2990;2991;0;this;
2;0;0;1;0;this;
;2990;2990;2993;0;this;
3;0;;1;0;this;
;2990;;2993;0;this;
;2990;;2993;0;this;
4;0;;2;0;this;
;2990;;2991;0;this;
5;0;0;2;1;this._inputEnd;
;2990;2990;2991;1;this._inputEnd;
6;0;0;1;1;this._inputEnd;
;2990;2990;2993;1;this._inputEnd;
7;0;0;2;2;this._inputPtr;
;2990;2990;2991;2;this._inputPtr;
8;0;0;1;2;this._inputPtr;
;2990;2990;2993;2;this._inputPtr;
9;0;;1;2;this._inputPtr;
;2990;;2993;2;this._inputPtr;
10;0;;1;3;this._inputBuffer;
;2990;;2993;3;this._inputBuffer;
