Number of Variables;8;
Variables:;
0;;this;
1;;q2;
2;;codes;
3;;this._inputBuffer;
4;;this._quad1;
5;;this._quadBuffer;
6;;this._inputPtr;
7;;i;

Number of Block duas;72;
Line Duas for method; parseMediumFieldName;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1475;;1483;0;this;
2;1475;;1483;0;this;
3;1475;;1491;0;this;
4;1475;;1491;0;this;
5;1475;;1499;0;this;
6;1475;;1499;0;this;
7;1475;;1506;0;this;
8;1475;;1507;0;this;
9;1475;;1508;0;this;
10;1475;;1504;0;this;
11;1475;;1502;0;this;
12;1475;;1496;0;this;
13;1475;;1494;0;this;
14;1475;;1488;0;this;
15;1475;;1486;0;this;
16;1475;;1480;0;this;
17;1475;;1478;0;this;
18;1475;;1482;1;q2;
19;1475;;1480;1;q2;
20;1475;;1478;1;q2;
21;1475;1476;1477;2;codes;
22;1475;1476;1482;2;codes;
23;1475;1484;1485;2;codes;
24;1475;1484;1490;2;codes;
25;1475;1492;1493;2;codes;
26;1475;1492;1498;2;codes;
27;1475;1500;1501;2;codes;
28;1475;1500;1506;2;codes;
29;1475;;1483;5;this._inputBuffer;
30;1475;;1491;5;this._inputBuffer;
31;1475;;1499;5;this._inputBuffer;
32;1475;;1506;6;this._quad1;
33;1475;;1504;6;this._quad1;
34;1475;;1502;6;this._quad1;
35;1475;;1496;6;this._quad1;
36;1475;;1494;6;this._quad1;
37;1475;;1488;6;this._quad1;
38;1475;;1486;6;this._quad1;
39;1475;;1480;6;this._quad1;
40;1475;;1478;6;this._quad1;
41;1475;;1506;7;this._quadBuffer;
42;1475;;1507;7;this._quadBuffer;
43;1475;;1483;3;this._inputPtr;
44;1475;1476;1477;4;i;
45;1475;1476;1482;4;i;
46;1475;;1482;4;i;
47;1475;1477;1478;4;i;
48;1475;1477;1480;4;i;
49;1475;;1480;4;i;
50;1482;;1490;1;q2;
51;1482;;1488;1;q2;
52;1482;;1486;1;q2;
53;1483;;1491;3;this._inputPtr;
54;1483;1484;1485;4;i;
55;1483;1484;1490;4;i;
56;1483;;1490;4;i;
57;1483;1485;1486;4;i;
58;1483;1485;1488;4;i;
59;1483;;1488;4;i;
60;1490;;1498;1;q2;
61;1490;;1496;1;q2;
62;1490;;1494;1;q2;
63;1491;;1499;3;this._inputPtr;
64;1491;1492;1493;4;i;
65;1491;1492;1498;4;i;
66;1491;;1498;4;i;
67;1491;1493;1494;4;i;
68;1491;1493;1496;4;i;
69;1491;;1496;4;i;
70;1498;;1507;1;q2;
71;1498;;1504;1;q2;
72;1498;;1502;1;q2;
73;1499;1500;1501;4;i;
74;1499;1500;1506;4;i;
75;1499;;1508;4;i;
76;1499;1501;1502;4;i;
77;1499;1501;1504;4;i;
78;1499;;1504;4;i;

Block Duas for method; parseMediumFieldName;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;1;0;this;
;1475;;1483;0;this;
;1475;;1483;0;this;
2;0;;2;0;this;
;1475;;1491;0;this;
;1475;;1491;0;this;
3;0;;3;0;this;
;1475;;1499;0;this;
;1475;;1499;0;this;
4;0;;4;0;this;
;1475;;1506;0;this;
;1475;;1507;0;this;
;1475;;1508;0;this;
5;0;;6;0;this;
;1475;;1504;0;this;
6;0;;7;0;this;
;1475;;1502;0;this;
7;0;;9;0;this;
;1475;;1496;0;this;
8;0;;10;0;this;
;1475;;1494;0;this;
9;0;;12;0;this;
;1475;;1488;0;this;
10;0;;13;0;this;
;1475;;1486;0;this;
11;0;;15;0;this;
;1475;;1480;0;this;
12;0;;16;0;this;
