Number of Variables;6;
Variables:;
0;;this;
1;;this._inputEnd;
2;;this._inputPtr;
3;;this._inputBuffer;
4;;this._quadBuffer;
5;;i;

Number of Block duas;17;
Line Duas for method; slowParseFieldName;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;1580;1580;1581;0;this;
2;1580;1580;1585;0;this;
3;1580;;1585;0;this;
4;1580;;1585;0;this;
5;1580;;1589;0;this;
6;1580;1581;1582;0;this;
7;1580;1581;1585;0;this;
8;1580;;1582;0;this;
9;1580;1580;1581;1;this._inputEnd;
10;1580;1580;1585;1;this._inputEnd;
11;1580;1580;1581;2;this._inputPtr;
12;1580;1580;1585;2;this._inputPtr;
13;1580;;1585;2;this._inputPtr;
14;1580;;1585;4;this._inputBuffer;
15;1580;;1589;5;this._quadBuffer;
16;1585;1586;1587;3;i;
17;1585;1586;1589;3;i;
18;1585;;1589;3;i;

Block Duas for method; slowParseFieldName;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;4;0;this;
;1580;1580;1581;0;this;
2;0;0;1;0;this;
;1580;1580;1585;0;this;
3;0;;1;0;this;
;1580;;1585;0;this;
;1580;;1585;0;this;
4;0;;2;0;this;
;1580;;1589;0;this;
5;0;4;5;0;this;
;1580;1581;1582;0;this;
6;0;4;1;0;this;
;1580;1581;1585;0;this;
7;0;;5;0;this;
;1580;;1582;0;this;
8;0;0;4;1;this._inputEnd;
;1580;1580;1581;1;this._inputEnd;
9;0;0;1;1;this._inputEnd;
;1580;1580;1585;1;this._inputEnd;
10;0;0;4;2;this._inputPtr;
;1580;1580;1581;2;this._inputPtr;
11;0;0;1;2;this._inputPtr;
;1580;1580;1585;2;this._inputPtr;
12;0;;1;2;this._inputPtr;
;1580;;1585;2;this._inputPtr;
13;0;;1;3;this._inputBuffer;
;1580;;1585;4;this._inputBuffer;
14;0;;2;4;this._quadBuffer;
;1580;;1589;5;this._quadBuffer;
15;1;1;3;5;i;
;1585;1586;1587;3;i;
16;1;1;2;5;i;
;1585;1586;1589;3;i;
17;1;;2;5;i;
;1585;;1589;3;i;
