Number of Variables;2;
Variables:;
0;;this;
1;;this.model;

Number of Block duas;6;
Line Duas for method; getColumnCount;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;118;118;119;0;this;
2;118;118;121;0;this;
3;118;;121;0;this;
4;118;118;119;1;this.model;
5;118;118;121;1;this.model;
6;118;;121;1;this.model;

Block Duas for method; getColumnCount;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;118;118;119;0;this;
2;0;0;1;0;this;
;118;118;121;0;this;
3;0;;1;0;this;
;118;;121;0;this;
4;0;0;2;1;this.model;
;118;118;119;1;this.model;
5;0;0;1;1;this.model;
;118;118;121;1;this.model;
6;0;;1;1;this.model;
;118;;121;1;this.model;
