Number of Variables;3;
Variables:;
0;;this;
1;;column;
2;;this.model;

Number of Block duas;11;
Line Duas for method; getColumnName;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;132;132;133;0;this;
2;132;132;135;0;this;
3;132;;139;0;this;
4;132;;133;0;this;
5;132;135;136;1;column;
6;132;135;139;1;column;
7;132;;139;1;column;
8;132;;133;1;column;
9;132;132;133;2;this.model;
10;132;132;135;2;this.model;
11;132;;139;2;this.model;

Block Duas for method; getColumnName;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;4;0;this;
;132;132;133;0;this;
2;0;0;1;0;this;
;132;132;135;0;this;
3;0;;2;0;this;
;132;;139;0;this;
4;0;;4;0;this;
;132;;133;0;this;
5;0;1;3;1;column;
;132;135;136;1;column;
6;0;1;2;1;column;
;132;135;139;1;column;
7;0;;2;1;column;
;132;;139;1;column;
8;0;;4;1;column;
;132;;133;1;column;
9;0;0;4;2;this.model;
;132;132;133;2;this.model;
10;0;0;1;2;this.model;
;132;132;135;2;this.model;
11;0;;2;2;this.model;
;132;;139;2;this.model;
