Number of Variables;4;
Variables:;
0;;n;
1;;F;
2;;ant;
3;;i;

Number of Block duas;21;
Line Duas for method; fibo;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;3;5;6;0;n;
2;3;5;14;0;n;
3;3;;14;1;F;
4;3;;10;1;F;
5;4;;10;2;ant;
6;4;;11;2;ant;
7;5;5;6;3;i;
8;5;5;14;3;i;
9;5;6;7;3;i;
10;5;6;10;3;i;
11;5;;5;3;i;
12;7;;14;1;F;
13;7;;10;1;F;
14;8;;10;2;ant;
15;8;;11;2;ant;
16;10;;14;1;F;
17;10;;10;1;F;
18;11;;10;2;ant;
19;11;;11;2;ant;
20;5;5;6;3;i;
21;5;5;14;3;i;
22;5;6;7;3;i;
23;5;6;10;3;i;
24;5;;5;3;i;

Block Duas for method; fibo;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;1;3;0;n;
;3;5;6;0;n;
2;0;1;2;0;n;
;3;5;14;0;n;
3;0;;2;1;F;
;3;;14;1;F;
4;0;;4;1;F;
;3;;10;1;F;
5;0;;4;2;ant;
;4;;10;2;ant;
;4;;11;2;ant;
6;0;1;3;3;i;
;5;5;6;3;i;
7;0;1;2;3;i;
;5;5;14;3;i;
8;0;3;6;3;i;
;5;6;7;3;i;
9;0;3;4;3;i;
;5;6;10;3;i;
10;0;;5;3;i;
;5;;5;3;i;
11;6;;2;1;F;
;7;;14;1;F;
12;6;;4;1;F;
;7;;10;1;F;
13;6;;4;2;ant;
;8;;10;2;ant;
;8;;11;2;ant;
14;4;;2;1;F;
;10;;14;1;F;
15;4;;4;1;F;
;10;;10;1;F;
16;4;;4;2;ant;
;11;;10;2;ant;
;11;;11;2;ant;
17;5;1;3;3;i;
;5;5;6;3;i;
18;5;1;2;3;i;
;5;5;14;3;i;
19;5;3;6;3;i;
;5;6;7;3;i;
20;5;3;4;3;i;
;5;6;10;3;i;
21;5;;5;3;i;
;5;;5;3;i;
