Number of Variables;6;
Variables:;
0;;this;
1;;combinator;
2;;this.elements;
3;;this.root;
4;;subQuery;
5;;output;

Number of Block duas;29;
Line Duas for method; combinator;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;125;;136;0;this;
2;125;;140;0;this;
3;125;;140;0;this;
4;125;;134;0;this;
5;125;;132;0;this;
6;125;;130;0;this;
7;125;129;130;1;combinator;
8;125;129;131;1;combinator;
9;125;131;132;1;combinator;
10;125;131;133;1;combinator;
11;125;133;134;1;combinator;
12;125;133;135;1;combinator;
13;125;135;136;1;combinator;
14;125;135;138;1;combinator;
15;125;;138;1;combinator;
16;125;;136;6;this.elements;
17;125;;140;6;this.elements;
18;125;;140;6;this.elements;
19;125;;134;6;this.elements;
20;125;;132;6;this.elements;
21;125;;130;6;this.elements;
22;125;;136;7;this.root;
23;125;;134;7;this.root;
24;126;;136;3;subQuery;
25;126;;134;3;subQuery;
26;126;;132;3;subQuery;
27;126;;130;3;subQuery;
28;130;;140;5;output;
29;132;;140;5;output;
30;134;;140;5;output;
31;136;;140;5;output;

Block Duas for method; combinator;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;5;0;this;
;125;;136;0;this;
2;0;;6;0;this;
;125;;140;0;this;
;125;;140;0;this;
3;0;;7;0;this;
;125;;134;0;this;
4;0;;8;0;this;
;125;;132;0;this;
5;0;;9;0;this;
;125;;130;0;this;
6;0;0;9;1;combinator;
;125;129;130;1;combinator;
7;0;0;1;1;combinator;
;125;129;131;1;combinator;
8;0;1;8;1;combinator;
;125;131;132;1;combinator;
9;0;1;2;1;combinator;
;125;131;133;1;combinator;
10;0;2;7;1;combinator;
;125;133;134;1;combinator;
11;0;2;3;1;combinator;
;125;133;135;1;combinator;
12;0;3;5;1;combinator;
;125;135;136;1;combinator;
13;0;3;4;1;combinator;
;125;135;138;1;combinator;
14;0;;4;1;combinator;
;125;;138;1;combinator;
15;0;;5;2;this.elements;
;125;;136;6;this.elements;
16;0;;6;2;this.elements;
;125;;140;6;this.elements;
;125;;140;6;this.elements;
17;0;;7;2;this.elements;
;125;;134;6;this.elements;
18;0;;8;2;this.elements;
;125;;132;6;this.elements;
19;0;;9;2;this.elements;
;125;;130;6;this.elements;
20;0;;5;3;this.root;
;125;;136;7;this.root;
21;0;;7;3;this.root;
;125;;134;7;this.root;
22;0;;5;4;subQuery;
;126;;136;3;subQuery;
23;0;;7;4;subQuery;
;126;;134;3;subQuery;
24;0;;8;4;subQuery;
;126;;132;3;subQuery;
25;0;;9;4;subQuery;
;126;;130;3;subQuery;
26;9;;6;5;output;
;130;;140;5;output;
27;8;;6;5;output;
;132;;140;5;output;
28;7;;6;5;output;
;134;;140;5;output;
29;5;;6;5;output;
;136;;140;5;output;
