Number of Variables;8;
Variables:;
0;;elements;
1;;output;
2;;i$;
3;;c;
4;;i$;
5;;e;
6;;ePos;
7;;cPos;

Number of Block duas;20;
Line Duas for method; filterForGeneralSiblings;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;301;;303;0;elements;
2;301;;314;2;output;
3;301;;309;2;output;
4;302;302;302;3;i$;
5;302;302;314;3;i$;
6;302;;302;3;i$;
7;302;304;305;4;c;
8;302;304;306;4;c;
9;302;;307;4;c;
10;302;;309;4;c;
11;303;303;303;5;i$;
12;303;303;313;5;i$;
13;303;;303;5;i$;
14;303;304;305;6;e;
15;303;304;306;6;e;
16;303;;306;6;e;
17;306;308;309;7;ePos;
18;306;308;312;7;ePos;
19;307;308;309;8;cPos;
20;307;308;312;8;cPos;

Block Duas for method; filterForGeneralSiblings;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;3;0;elements;
;301;;303;0;elements;
2;0;;2;1;output;
;301;;314;2;output;
3;0;;9;1;output;
;301;;309;2;output;
4;0;1;3;2;i$;
;302;302;302;3;i$;
5;0;1;2;2;i$;
;302;302;314;3;i$;
6;0;;3;2;i$;
;302;;302;3;i$;
7;3;6;10;3;c;
;302;304;305;4;c;
8;3;6;7;3;c;
;302;304;306;4;c;
9;3;;7;3;c;
;302;;307;4;c;
10;3;;9;3;c;
;302;;309;4;c;
11;3;4;6;4;i$;
;303;303;303;5;i$;
12;3;4;5;4;i$;
;303;303;313;5;i$;
13;3;;6;4;i$;
;303;;303;5;i$;
14;6;6;10;5;e;
;303;304;305;6;e;
15;6;6;7;5;e;
;303;304;306;6;e;
16;6;;7;5;e;
;303;;306;6;e;
17;7;7;9;6;ePos;
;306;308;309;7;ePos;
18;7;7;8;6;ePos;
;306;308;312;7;ePos;
19;7;7;9;7;cPos;
;307;308;309;8;cPos;
20;7;7;8;7;cPos;
;307;308;312;8;cPos;
