Number of Variables;6;
Variables:;
0;;parents;
1;;children;
2;;i$;
3;;c;
4;;i$;
5;;p;

Number of Block duas;14;
Line Duas for method; filterForSelf;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;319;;321;0;parents;
2;319;;328;2;children;
3;319;;323;2;children;
4;320;320;320;3;i$;
5;320;320;328;3;i$;
6;320;;320;3;i$;
7;320;322;323;4;c;
8;320;322;326;4;c;
9;320;;323;4;c;
10;321;321;321;5;i$;
11;321;321;327;5;i$;
12;321;;321;5;i$;
13;321;322;323;6;p;
14;321;322;326;6;p;

Block Duas for method; filterForSelf;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;3;0;parents;
;319;;321;0;parents;
2;0;;2;1;children;
;319;;328;2;children;
3;0;;8;1;children;
;319;;323;2;children;
4;0;1;3;2;i$;
;320;320;320;3;i$;
5;0;1;2;2;i$;
;320;320;328;3;i$;
6;0;;3;2;i$;
;320;;320;3;i$;
7;3;6;8;3;c;
;320;322;323;4;c;
8;3;6;7;3;c;
;320;322;326;4;c;
9;3;;8;3;c;
;320;;323;4;c;
10;3;4;6;4;i$;
;321;321;321;5;i$;
11;3;4;5;4;i$;
;321;321;327;5;i$;
12;3;;6;4;i$;
;321;;321;5;i$;
13;6;6;8;5;p;
;321;322;323;6;p;
14;6;6;7;5;p;
;321;322;326;6;p;
