Number of Variables;3;
Variables:;
0;;this;
1;;this.tq;
2;;this.query;

Number of Block duas;42;
Line Duas for method; findElements;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;144;144;145;0;this;
2;144;144;146;0;this;
3;144;146;147;0;this;
4;144;146;148;0;this;
5;144;148;149;0;this;
6;144;148;150;0;this;
7;144;150;151;0;this;
8;144;150;152;0;this;
9;144;152;153;0;this;
10;144;152;154;0;this;
11;144;154;155;0;this;
12;144;154;156;0;this;
13;144;156;157;0;this;
14;144;156;158;0;this;
15;144;158;159;0;this;
16;144;158;161;0;this;
17;144;;161;0;this;
18;144;;159;0;this;
19;144;;157;0;this;
20;144;;155;0;this;
21;144;;153;0;this;
22;144;;151;0;this;
23;144;;149;0;this;
24;144;;147;0;this;
25;144;;145;0;this;
26;144;144;145;1;this.tq;
27;144;144;146;1;this.tq;
28;144;146;147;1;this.tq;
29;144;146;148;1;this.tq;
30;144;148;149;1;this.tq;
31;144;148;150;1;this.tq;
32;144;150;151;1;this.tq;
33;144;150;152;1;this.tq;
34;144;152;153;1;this.tq;
35;144;152;154;1;this.tq;
36;144;154;155;1;this.tq;
37;144;154;156;1;this.tq;
38;144;156;157;1;this.tq;
39;144;156;158;1;this.tq;
40;144;158;159;1;this.tq;
41;144;158;161;1;this.tq;
42;144;;161;2;this.query;

Block Duas for method; findElements;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;16;0;this;
;144;144;145;0;this;
2;0;0;1;0;this;
;144;144;146;0;this;
3;0;1;15;0;this;
;144;146;147;0;this;
4;0;1;2;0;this;
;144;146;148;0;this;
5;0;2;14;0;this;
;144;148;149;0;this;
6;0;2;3;0;this;
;144;148;150;0;this;
7;0;3;13;0;this;
;144;150;151;0;this;
8;0;3;4;0;this;
;144;150;152;0;this;
9;0;4;12;0;this;
;144;152;153;0;this;
10;0;4;5;0;this;
;144;152;154;0;this;
11;0;5;11;0;this;
;144;154;155;0;this;
12;0;5;6;0;this;
;144;154;156;0;this;
13;0;6;10;0;this;
;144;156;157;0;this;
14;0;6;7;0;this;
;144;156;158;0;this;
15;0;7;9;0;this;
;144;158;159;0;this;
16;0;7;8;0;this;
;144;158;161;0;this;
17;0;;8;0;this;
;144;;161;0;this;
18;0;;9;0;this;
;144;;159;0;this;
19;0;;10;0;this;
;144;;157;0;this;
20;0;;11;0;this;
;144;;155;0;this;
21;0;;12;0;this;
;144;;153;0;this;
22;0;;13;0;this;
;144;;151;0;this;
23;0;;14;0;this;
;144;;149;0;this;
24;0;;15;0;this;
;144;;147;0;this;
25;0;;16;0;this;
;144;;145;0;this;
26;0;0;16;1;this.tq;
;144;144;145;1;this.tq;
27;0;0;1;1;this.tq;
;144;144;146;1;this.tq;
28;0;1;15;1;this.tq;
;144;146;147;1;this.tq;
29;0;1;2;1;this.tq;
;144;146;148;1;this.tq;
30;0;2;14;1;this.tq;
;144;148;149;1;this.tq;
31;0;2;3;1;this.tq;
;144;148;150;1;this.tq;
32;0;3;13;1;this.tq;
;144;150;151;1;this.tq;
33;0;3;4;1;this.tq;
;144;150;152;1;this.tq;
34;0;4;12;1;this.tq;
;144;152;153;1;this.tq;
35;0;4;5;1;this.tq;
;144;152;154;1;this.tq;
36;0;5;11;1;this.tq;
;144;154;155;1;this.tq;
37;0;5;6;1;this.tq;
;144;154;156;1;this.tq;
38;0;6;10;1;this.tq;
;144;156;157;1;this.tq;
39;0;6;7;1;this.tq;
;144;156;158;1;this.tq;
40;0;7;9;1;this.tq;
;144;158;159;1;this.tq;
41;0;7;8;1;this.tq;
;144;158;161;1;this.tq;
42;0;;8;2;this.query;
;144;;161;2;this.query;
