Number of Variables;6;
Variables:;
0;;this;
1;;this.tq;
2;;combinators;
3;;this.elements;
4;;this.root;
5;;seenWhite;

Number of Block duas;44;
Line Duas for method; select;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;94;96;97;0;this;
2;94;96;100;0;this;
3;94;;100;0;this;
4;94;103;105;0;this;
5;94;103;121;0;this;
6;94;;121;0;this;
7;94;;105;0;this;
8;94;107;108;0;this;
9;94;107;112;0;this;
10;94;112;113;0;this;
11;94;112;114;0;this;
12;94;;117;0;this;
13;94;;118;0;this;
14;94;;115;0;this;
15;94;;113;0;this;
16;94;108;109;0;this;
17;94;108;120;0;this;
18;94;;109;0;this;
19;94;;110;0;this;
20;94;;97;0;this;
21;94;;98;0;this;
22;94;96;97;1;this.tq;
23;94;96;100;1;this.tq;
24;94;103;105;1;this.tq;
25;94;103;121;1;this.tq;
26;94;;105;1;this.tq;
27;94;107;108;1;this.tq;
28;94;107;112;1;this.tq;
29;94;112;113;1;this.tq;
30;94;112;114;1;this.tq;
31;94;;113;1;this.tq;
32;94;108;109;1;this.tq;
33;94;108;120;1;this.tq;
34;94;;109;1;this.tq;
35;94;;98;1;this.tq;
36;94;96;97;2;combinators;
37;94;96;100;2;combinators;
38;94;112;113;2;combinators;
39;94;112;114;2;combinators;
40;94;;121;3;this.elements;
41;94;;118;3;this.elements;
42;94;;110;3;this.elements;
43;94;;97;3;this.elements;
44;94;;110;4;this.root;
45;94;;97;4;this.root;
46;105;114;115;5;seenWhite;
47;105;114;117;5;seenWhite;

Block Duas for method; select;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;13;0;this;
;94;96;97;0;this;
2;0;0;1;0;this;
;94;96;100;0;this;
3;0;;1;0;this;
;94;;100;0;this;
4;0;2;4;0;this;
;94;103;105;0;this;
5;0;2;3;0;this;
;94;103;121;0;this;
6;0;;3;0;this;
;94;;121;0;this;
7;0;;4;0;this;
;94;;105;0;this;
8;0;4;11;0;this;
;94;107;108;0;this;
9;0;4;5;0;this;
;94;107;112;0;this;
10;0;5;10;0;this;
;94;112;113;0;this;
11;0;5;6;0;this;
;94;112;114;0;this;
12;0;;7;0;this;
;94;;117;0;this;
;94;;118;0;this;
13;0;;9;0;this;
;94;;115;0;this;
14;0;;10;0;this;
;94;;113;0;this;
15;0;11;12;0;this;
;94;108;109;0;this;
16;0;11;8;0;this;
;94;108;120;0;this;
17;0;;12;0;this;
;94;;109;0;this;
;94;;110;0;this;
18;0;;13;0;this;
;94;;97;0;this;
;94;;98;0;this;
19;0;0;13;1;this.tq;
;94;96;97;1;this.tq;
20;0;0;1;1;this.tq;
;94;96;100;1;this.tq;
21;0;2;4;1;this.tq;
;94;103;105;1;this.tq;
22;0;2;3;1;this.tq;
;94;103;121;1;this.tq;
23;0;;4;1;this.tq;
;94;;105;1;this.tq;
24;0;4;11;1;this.tq;
;94;107;108;1;this.tq;
25;0;4;5;1;this.tq;
;94;107;112;1;this.tq;
26;0;5;10;1;this.tq;
;94;112;113;1;this.tq;
27;0;5;6;1;this.tq;
;94;112;114;1;this.tq;
28;0;;10;1;this.tq;
;94;;113;1;this.tq;
29;0;11;12;1;this.tq;
;94;108;109;1;this.tq;
30;0;11;8;1;this.tq;
;94;108;120;1;this.tq;
31;0;;12;1;this.tq;
;94;;109;1;this.tq;
32;0;;13;1;this.tq;
;94;;98;1;this.tq;
33;0;0;13;2;combinators;
;94;96;97;2;combinators;
34;0;0;1;2;combinators;
;94;96;100;2;combinators;
35;0;5;10;2;combinators;
;94;112;113;2;combinators;
36;0;5;6;2;combinators;
;94;112;114;2;combinators;
37;0;;3;3;this.elements;
;94;;121;3;this.elements;
38;0;;7;3;this.elements;
;94;;118;3;this.elements;
39;0;;12;3;this.elements;
;94;;110;3;this.elements;
40;0;;13;3;this.elements;
;94;;97;3;this.elements;
41;0;;12;4;this.root;
;94;;110;4;this.root;
42;0;;13;4;this.root;
;94;;97;4;this.root;
43;4;6;9;5;seenWhite;
;105;114;115;5;seenWhite;
44;4;6;7;5;seenWhite;
;105;114;117;5;seenWhite;
