Number of Variables;11;
Variables:;
0;;x;
1;;A;
2;;B;
3;;C;
4;;q;
5;;w;
6;;p;
7;;z;
8;;z;
9;;q;
10;;p;

Number of Block duas;94;
Line Duas for method; lnGamma;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;239;251;252;0;x;
2;239;251;271;0;x;
3;239;271;272;0;x;
4;239;271;295;0;x;
5;239;295;296;0;x;
6;239;295;299;0;x;
7;239;;299;0;x;
8;239;301;302;0;x;
9;239;301;305;0;x;
10;239;;305;0;x;
11;239;306;307;0;x;
12;239;306;310;0;x;
13;239;;310;0;x;
14;239;;307;0;x;
15;239;273;274;0;x;
16;239;273;277;0;x;
17;239;277;278;0;x;
18;239;277;284;0;x;
19;239;287;288;0;x;
20;239;287;290;0;x;
21;239;;290;0;x;
22;239;278;279;0;x;
23;239;278;281;0;x;
24;239;;281;0;x;
25;239;;282;0;x;
26;239;;274;0;x;
27;239;;252;0;x;
28;239;;310;1;A;
29;242;;291;2;B;
30;245;;291;3;C;
31;252;255;256;4;q;
32;252;255;258;4;q;
33;252;;258;4;q;
34;252;;263;4;q;
35;252;;261;4;q;
36;253;;267;5;w;
37;254;255;256;6;p;
38;254;255;258;6;p;
39;254;;258;6;p;
40;254;;260;6;p;
41;258;259;260;7;z;
42;258;259;263;7;z;
43;258;;263;7;z;
44;261;;263;7;z;
45;263;264;265;7;z;
46;263;264;267;7;z;
47;263;;267;7;z;
48;272;284;285;7;z;
49;272;284;287;7;z;
50;272;;292;7;z;
51;272;;288;7;z;
52;272;;285;7;z;
53;272;;281;7;z;
54;272;;275;7;z;
55;274;273;274;0;x;
56;274;273;277;0;x;
57;274;277;278;0;x;
58;274;277;284;0;x;
59;274;287;288;0;x;
60;274;287;290;0;x;
61;274;;290;0;x;
62;274;278;279;0;x;
63;274;278;281;0;x;
64;274;;281;0;x;
65;274;;282;0;x;
66;274;;274;0;x;
67;275;284;285;7;z;
68;275;284;287;7;z;
69;275;;292;7;z;
70;275;;288;7;z;
71;275;;285;7;z;
72;275;;281;7;z;
73;275;;275;7;z;
74;281;284;285;7;z;
75;281;284;287;7;z;
76;281;;292;7;z;
77;281;;288;7;z;
78;281;;285;7;z;
79;281;;281;7;z;
80;282;277;278;0;x;
81;282;277;284;0;x;
82;282;287;288;0;x;
83;282;287;290;0;x;
84;282;;290;0;x;
85;282;278;279;0;x;
86;282;278;281;0;x;
