Number of Variables;14;
Variables:;
0;;y0;
1;;P0;
2;;Q0;
3;;P1;
4;;Q1;
5;;P2;
6;;Q2;
7;;s2pi;
8;;code;
9;;y;
10;;x;
11;;x0;
12;;z;
13;;x1;

Number of Block duas;37;
Line Duas for method; normalInverse;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;190;192;193;0;y0;
2;190;192;195;0;y0;
3;190;195;196;0;y0;
4;190;195;198;0;y0;
5;190;;199;0;y0;
6;190;;208;6;P0;
7;190;;208;7;Q0;
8;190;;218;11;P1;
9;190;;218;12;Q1;
10;190;;220;13;P2;
11;190;;220;14;Q2;
12;190;;209;1;s2pi;
13;198;223;224;2;code;
14;198;223;226;2;code;
15;199;200;201;3;y;
16;199;200;205;3;y;
17;199;205;206;3;y;
18;199;205;213;3;y;
19;199;;213;3;y;
20;199;;206;3;y;
21;199;;201;3;y;
22;201;205;206;3;y;
23;201;205;213;3;y;
24;201;;213;3;y;
25;201;;206;3;y;
26;202;223;224;2;code;
27;202;223;226;2;code;
28;213;217;218;5;x;
29;213;217;220;5;x;
30;214;;222;8;x0;
31;216;;220;9;z;
32;216;;218;9;z;
33;218;;222;10;x1;
34;220;;222;10;x1;
35;222;;226;5;x;
36;222;;224;5;x;
37;224;;226;5;x;

Block Duas for method; normalInverse;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;13;0;y0;
;190;192;193;0;y0;
2;0;0;1;0;y0;
;190;192;195;0;y0;
3;0;1;12;0;y0;
;190;195;196;0;y0;
4;0;1;2;0;y0;
;190;195;198;0;y0;
5;0;;2;0;y0;
;190;;199;0;y0;
6;0;;10;1;P0;
;190;;208;6;P0;
7;0;;10;2;Q0;
;190;;208;7;Q0;
8;0;;9;3;P1;
;190;;218;11;P1;
9;0;;9;4;Q1;
;190;;218;12;Q1;
10;0;;5;5;P2;
;190;;220;13;P2;
11;0;;5;6;Q2;
;190;;220;14;Q2;
12;0;;10;7;s2pi;
;190;;209;1;s2pi;
13;2;6;8;8;code;
;198;223;224;2;code;
14;2;6;7;8;code;
;198;223;226;2;code;
15;2;2;11;9;y;
;199;200;201;3;y;
16;2;2;3;9;y;
;199;200;205;3;y;
17;2;3;10;9;y;
;199;205;206;3;y;
18;2;3;4;9;y;
;199;205;213;3;y;
19;2;;4;9;y;
;199;;213;3;y;
20;2;;10;9;y;
;199;;206;3;y;
21;2;;11;9;y;
;199;;201;3;y;
22;11;3;10;9;y;
;201;205;206;3;y;
23;11;3;4;9;y;
;201;205;213;3;y;
24;11;;4;9;y;
;201;;213;3;y;
25;11;;10;9;y;
;201;;206;3;y;
26;11;6;8;8;code;
;202;223;224;2;code;
27;11;6;7;8;code;
;202;223;226;2;code;
28;4;4;9;10;x;
;213;217;218;5;x;
29;4;4;5;10;x;
;213;217;220;5;x;
30;4;;6;11;x0;
;214;;222;8;x0;
31;4;;5;12;z;
;216;;220;9;z;
32;4;;9;12;z;
;216;;218;9;z;
33;9;;6;13;x1;
;218;;222;10;x1;
34;5;;6;13;x1;
;220;;222;10;x1;
35;6;;7;10;x;
;222;;226;5;x;
36;6;;8;10;x;
;222;;224;5;x;
37;8;;7;10;x;
;224;;226;5;x;
