Number of Variables;5;
Variables:;
0;;x;
1;;coef;
2;;N;
3;;ans;
4;;i;

Number of Block duas;14;
Line Duas for method; polevl;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;516;;519;0;x;
2;516;;519;1;coef;
3;516;518;519;2;N;
4;516;518;522;2;N;
5;516;;522;3;ans;
6;516;;519;3;ans;
7;518;518;519;4;i;
8;518;518;522;4;i;
9;518;;519;4;i;
10;518;;518;4;i;
11;519;;522;3;ans;
12;519;;519;3;ans;
13;518;518;519;4;i;
14;518;518;522;4;i;
15;518;;519;4;i;
16;518;;518;4;i;

Block Duas for method; polevl;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;3;0;x;
;516;;519;0;x;
2;0;;3;1;coef;
;516;;519;1;coef;
3;0;1;3;2;N;
;516;518;519;2;N;
4;0;1;2;2;N;
;516;518;522;2;N;
5;0;;2;3;ans;
;516;;522;3;ans;
6;0;;3;3;ans;
;516;;519;3;ans;
7;0;1;3;4;i;
;518;518;519;4;i;
8;0;1;2;4;i;
;518;518;522;4;i;
9;0;;3;4;i;
;518;;519;4;i;
;518;;518;4;i;
10;3;;2;3;ans;
;519;;522;3;ans;
11;3;;3;3;ans;
;519;;519;3;ans;
12;3;1;3;4;i;
;518;518;519;4;i;
13;3;1;2;4;i;
;518;518;522;4;i;
14;3;;3;4;i;
;518;;519;4;i;
;518;;518;4;i;
