Number of Variables;3;
Variables:;
0;;predicates;
1;;firstIndex;
2;;i;

Number of Block duas;34;
Line Duas for method; areBasicPredicates;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;120;120;120;1;predicates;
2;120;120;141;1;predicates;
3;120;120;121;1;predicates;
4;120;120;141;1;predicates;
5;120;122;123;1;predicates;
6;120;122;141;1;predicates;
7;120;123;124;1;predicates;
8;120;123;130;1;predicates;
9;120;130;131;1;predicates;
10;120;130;134;1;predicates;
11;120;124;127;1;predicates;
12;120;124;122;1;predicates;
13;121;134;135;2;firstIndex;
14;121;134;137;2;firstIndex;
15;122;122;123;3;i;
16;122;122;141;3;i;
17;122;123;124;3;i;
18;122;123;130;3;i;
19;122;130;131;3;i;
20;122;130;134;3;i;
21;122;;122;3;i;
22;122;124;127;3;i;
23;122;124;122;3;i;
24;137;134;135;2;firstIndex;
25;137;134;137;2;firstIndex;
26;122;122;123;3;i;
27;122;122;141;3;i;
28;122;123;124;3;i;
29;122;123;130;3;i;
30;122;130;131;3;i;
31;122;130;134;3;i;
32;122;;122;3;i;
33;122;124;127;3;i;
34;122;124;122;3;i;

Block Duas for method; areBasicPredicates;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;predicates;
;120;120;120;1;predicates;
2;0;0;1;0;predicates;
;120;120;141;1;predicates;
3;0;2;3;0;predicates;
;120;120;121;1;predicates;
4;0;2;1;0;predicates;
;120;120;141;1;predicates;
5;0;4;5;0;predicates;
;120;122;123;1;predicates;
6;0;4;1;0;predicates;
;120;122;141;1;predicates;
7;0;5;12;0;predicates;
;120;123;124;1;predicates;
8;0;5;6;0;predicates;
;120;123;130;1;predicates;
9;0;6;11;0;predicates;
;120;130;131;1;predicates;
10;0;6;7;0;predicates;
;120;130;134;1;predicates;
11;0;12;13;0;predicates;
;120;124;127;1;predicates;
12;0;12;9;0;predicates;
;120;124;122;1;predicates;
13;3;7;10;1;firstIndex;
;121;134;135;2;firstIndex;
14;3;7;8;1;firstIndex;
;121;134;137;2;firstIndex;
15;3;4;5;2;i;
;122;122;123;3;i;
16;3;4;1;2;i;
;122;122;141;3;i;
17;3;5;12;2;i;
;122;123;124;3;i;
18;3;5;6;2;i;
;122;123;130;3;i;
19;3;6;11;2;i;
;122;130;131;3;i;
20;3;6;7;2;i;
;122;130;134;3;i;
21;3;;9;2;i;
;122;;122;3;i;
22;3;12;13;2;i;
;122;124;127;3;i;
23;3;12;9;2;i;
;122;124;122;3;i;
24;8;7;10;1;firstIndex;
;137;134;135;2;firstIndex;
25;8;7;8;1;firstIndex;
;137;134;137;2;firstIndex;
26;9;4;5;2;i;
;122;122;123;3;i;
27;9;4;1;2;i;
;122;122;141;3;i;
28;9;5;12;2;i;
;122;123;124;3;i;
29;9;5;6;2;i;
;122;123;130;3;i;
30;9;6;11;2;i;
;122;130;131;3;i;
31;9;6;7;2;i;
;122;130;134;3;i;
32;9;;9;2;i;
;122;;122;3;i;
33;9;12;13;2;i;
;122;124;127;3;i;
34;9;12;9;2;i;
;122;124;122;3;i;
