Number of Variables;6;
Variables:;
0;;context;
1;;axis;
2;;nodeTest;
3;;qname;
4;;prefix;
5;;namespaceURI;

Number of Block duas;63;
Line Duas for method; createContextForStep;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;262;;285;1;context;
2;262;;297;1;context;
3;262;;289;1;context;
4;262;;277;1;context;
5;262;;283;1;context;
6;262;;287;1;context;
7;262;;295;1;context;
8;262;;291;1;context;
9;262;;279;1;context;
10;262;;275;1;context;
11;262;;293;1;context;
12;262;;281;1;context;
13;262;;299;1;context;
14;262;;265;1;context;
15;262;273;301;2;axis;
16;262;273;299;2;axis;
17;262;273;281;2;axis;
18;262;273;293;2;axis;
19;262;273;275;2;axis;
20;262;273;279;2;axis;
21;262;273;291;2;axis;
22;262;273;295;2;axis;
23;262;273;287;2;axis;
24;262;273;283;2;axis;
25;262;273;277;2;axis;
26;262;273;289;2;axis;
27;262;273;297;2;axis;
28;262;273;285;2;axis;
29;262;262;263;3;nodeTest;
30;262;262;273;3;nodeTest;
31;262;;285;3;nodeTest;
32;262;;297;3;nodeTest;
33;262;;289;3;nodeTest;
34;262;;277;3;nodeTest;
35;262;;283;3;nodeTest;
36;262;;287;3;nodeTest;
37;262;;295;3;nodeTest;
38;262;;291;3;nodeTest;
39;262;;279;3;nodeTest;
40;262;;275;3;nodeTest;
41;262;;293;3;nodeTest;
42;262;;281;3;nodeTest;
43;262;;299;3;nodeTest;
44;262;;263;3;nodeTest;
45;263;;269;4;qname;
46;264;265;265;5;prefix;
47;264;265;265;5;prefix;
48;265;268;269;6;namespaceURI;
49;265;268;273;6;namespaceURI;
50;265;;269;6;namespaceURI;
51;269;;285;3;nodeTest;
52;269;;297;3;nodeTest;
53;269;;289;3;nodeTest;
54;269;;277;3;nodeTest;
55;269;;283;3;nodeTest;
56;269;;287;3;nodeTest;
57;269;;295;3;nodeTest;
58;269;;291;3;nodeTest;
59;269;;279;3;nodeTest;
60;269;;275;3;nodeTest;
61;269;;293;3;nodeTest;
62;269;;281;3;nodeTest;
63;269;;299;3;nodeTest;

Block Duas for method; createContextForStep;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;;2;0;context;
;262;;285;1;context;
2;0;;3;0;context;
;262;;297;1;context;
3;0;;4;0;context;
;262;;289;1;context;
4;0;;5;0;context;
;262;;277;1;context;
5;0;;6;0;context;
;262;;283;1;context;
6;0;;7;0;context;
;262;;287;1;context;
7;0;;8;0;context;
;262;;295;1;context;
8;0;;9;0;context;
;262;;291;1;context;
9;0;;10;0;context;
;262;;279;1;context;
10;0;;11;0;context;
;262;;275;1;context;
11;0;;12;0;context;
;262;;293;1;context;
12;0;;13;0;context;
;262;;281;1;context;
13;0;;14;0;context;
;262;;299;1;context;
14;0;;18;0;context;
;262;;265;1;context;
15;0;1;15;1;axis;
;262;273;301;2;axis;
16;0;1;14;1;axis;
;262;273;299;2;axis;
17;0;1;13;1;axis;
;262;273;281;2;axis;
18;0;1;12;1;axis;
;262;273;293;2;axis;
19;0;1;11;1;axis;
;262;273;275;2;axis;
20;0;1;10;1;axis;
;262;273;279;2;axis;
21;0;1;9;1;axis;
;262;273;291;2;axis;
22;0;1;8;1;axis;
;262;273;295;2;axis;
23;0;1;7;1;axis;
;262;273;287;2;axis;
24;0;1;6;1;axis;
;262;273;283;2;axis;
25;0;1;5;1;axis;
;262;273;277;2;axis;
26;0;1;4;1;axis;
;262;273;289;2;axis;
27;0;1;3;1;axis;
;262;273;297;2;axis;
28;0;1;2;1;axis;
;262;273;285;2;axis;
29;0;0;16;2;nodeTest;
;262;262;263;3;nodeTest;
30;0;0;1;2;nodeTest;
;262;262;273;3;nodeTest;
31;0;;2;2;nodeTest;
;262;;285;3;nodeTest;
32;0;;3;2;nodeTest;
;262;;297;3;nodeTest;
33;0;;4;2;nodeTest;
;262;;289;3;nodeTest;
34;0;;5;2;nodeTest;
;262;;277;3;nodeTest;
35;0;;6;2;nodeTest;
;262;;283;3;nodeTest;
36;0;;7;2;nodeTest;
;262;;287;3;nodeTest;
37;0;;8;2;nodeTest;
;262;;295;3;nodeTest;
38;0;;9;2;nodeTest;
;262;;291;3;nodeTest;
39;0;;10;2;nodeTest;
;262;;279;3;nodeTest;
40;0;;11;2;nodeTest;
;262;;275;3;nodeTest;
41;0;;12;2;nodeTest;
;262;;293;3;nodeTest;
42;0;;13;2;nodeTest;
;262;;281;3;nodeTest;
43;0;;14;2;nodeTest;
;262;;299;3;nodeTest;
44;0;;16;2;nodeTest;
;262;;263;3;nodeTest;
45;16;;19;3;qname;
;263;;269;4;qname;
46;16;16;20;4;prefix;
;264;265;265;5;prefix;
47;16;16;17;4;prefix;
;264;265;265;5;prefix;
48;18;18;19;5;namespaceURI;
;265;268;269;6;namespaceURI;
49;18;18;1;5;namespaceURI;
;265;268;273;6;namespaceURI;
50;18;;19;5;namespaceURI;
;265;;269;6;namespaceURI;
51;19;;2;2;nodeTest;
;269;;285;3;nodeTest;
52;19;;3;2;nodeTest;
;269;;297;3;nodeTest;
53;19;;4;2;nodeTest;
;269;;289;3;nodeTest;
54;19;;5;2;nodeTest;
;269;;277;3;nodeTest;
55;19;;6;2;nodeTest;
;269;;283;3;nodeTest;
56;19;;7;2;nodeTest;
;269;;287;3;nodeTest;
57;19;;8;2;nodeTest;
;269;;295;3;nodeTest;
58;19;;9;2;nodeTest;
;269;;291;3;nodeTest;
59;19;;10;2;nodeTest;
;269;;279;3;nodeTest;
60;19;;11;2;nodeTest;
;269;;275;3;nodeTest;
61;19;;12;2;nodeTest;
;269;;293;3;nodeTest;
62;19;;13;2;nodeTest;
;269;;281;3;nodeTest;
63;19;;14;2;nodeTest;
;269;;299;3;nodeTest;
