Number of Variables;5;
Variables:;
0;;this;
1;;this.basicKnown;
2;;this.basic;
3;;steps;
4;;i;

Number of Block duas;26;
Line Duas for method; isSimplePath;
Number;Def Line; Origin Line; Use Line; Var Id; Var Name;
1;73;73;74;0;this;
2;73;73;84;0;this;
3;73;;84;0;this;
4;73;;74;0;this;
5;73;;75;0;this;
6;73;;76;0;this;
7;73;78;79;0;this;
8;73;78;77;0;this;
9;73;;79;0;this;
10;73;73;74;1;this.basicKnown;
11;73;73;84;1;this.basicKnown;
12;73;;84;2;this.basic;
13;75;;84;2;this.basic;
14;76;77;78;3;steps;
15;76;77;84;3;steps;
16;76;78;79;3;steps;
17;76;78;77;3;steps;
18;77;77;78;4;i;
19;77;77;84;4;i;
20;77;78;79;4;i;
21;77;78;77;4;i;
22;77;;77;4;i;
23;79;;84;2;this.basic;
24;77;77;78;4;i;
25;77;77;84;4;i;
26;77;78;79;4;i;
27;77;78;77;4;i;
28;77;;77;4;i;

Block Duas for method; isSimplePath;
Number;Def Block; Origin Block; Use Block; Var Id; Var Name;
1;0;0;2;0;this;
;73;73;74;0;this;
2;0;0;1;0;this;
;73;73;84;0;this;
3;0;;1;0;this;
;73;;84;0;this;
4;0;;2;0;this;
;73;;74;0;this;
;73;;75;0;this;
;73;;76;0;this;
5;0;4;6;0;this;
;73;78;79;0;this;
6;0;4;5;0;this;
;73;78;77;0;this;
7;0;;6;0;this;
;73;;79;0;this;
8;0;0;2;1;this.basicKnown;
;73;73;74;1;this.basicKnown;
9;0;0;1;1;this.basicKnown;
;73;73;84;1;this.basicKnown;
10;0;;1;2;this.basic;
;73;;84;2;this.basic;
11;2;;1;2;this.basic;
;75;;84;2;this.basic;
12;2;3;4;3;steps;
;76;77;78;3;steps;
13;2;3;1;3;steps;
;76;77;84;3;steps;
14;2;4;6;3;steps;
;76;78;79;3;steps;
15;2;4;5;3;steps;
;76;78;77;3;steps;
16;2;3;4;4;i;
;77;77;78;4;i;
17;2;3;1;4;i;
;77;77;84;4;i;
18;2;4;6;4;i;
;77;78;79;4;i;
19;2;4;5;4;i;
;77;78;77;4;i;
20;2;;5;4;i;
;77;;77;4;i;
21;6;;1;2;this.basic;
;79;;84;2;this.basic;
22;5;3;4;4;i;
;77;77;78;4;i;
23;5;3;1;4;i;
;77;77;84;4;i;
24;5;4;6;4;i;
;77;78;79;4;i;
25;5;4;5;4;i;
;77;78;77;4;i;
26;5;;5;4;i;
;77;;77;4;i;
